Location,Depth_below_seafloor,Age_host_seds
"South Korea Plateau, Sea of Japan",450,
Site 794,293.5,8
site 795,326,5.2
Site 796,213,6.3
Site 797,303,8
Site 798,451,3.8
Site 799,449,6.4
6505/10-1,1700,7
6406/1-2,2200,7
6404/1-1,1700,7
6403/6-1,2800,7
6405/7-1,2140,7
6403/10-1,2900,7
6404/11-1,3000,7
6405/10-1,2118,7
6305/1-1,1886,7
6302/6-1,1500,7
vorgin basin seismic,291,20
6704/12-1,1745,7
6305/5-1,1910,7
ODP 150 902 ,550,30
ODP 150 903,900,35
ODP 150 904 ,560,40
ODP 150 905,700,30
ODP 150 906,560,30
ODP 189 1170,550,40
ODP 189 1171,330,35
ODP 189 1172 ,500,40
ODP 113 696,520,15
ODP 113 695,690,11
ODP 105 647 ,250,33
DSDP leg 95 605 ,350,40
DSDP leg 95 612 ,320,40
DSDP leg 95 613 ,440,40
DSDP leg 47 site 397 ,800,20
214/4-1,700,27
Marshall islands ,390,45
"Baja, California",170,13
,500,7
,184,11
,235,11
,203,10
,1001,
Hess rise,60,60
,80,60
,235,83
,170,86
"Goban Spur, NE Atlantic",390,40
,350,70
,413,60
,150,89
West of Australia,281,58
Bering Sea ,122,
Japan Sea ,400,6
Japan Sea ,300,6
Japan Sea ,220,6
Japan Sea ,480,5
Japan Sea ,300,11
Japan Sea ,340,
Antarctica ,610,8
Norwegian Sea,300,23
DSDP 69 site 504,225,5.2
DSDP leg 56 site 436,379,90
DSDP 41 site 370,210,20
DSDP 41 site 369,350,72
DSDP 41 site 368,370,65
DSDP 41 site 367,320,65
DSDP 43 site 384,95,50
DSDP 43 site 385,170,50
DSDP 43 site 386,500,50
DSDP 43 site 387,260,50
ODP 119 site 738,130,40
ODP 119 site 737,555,30
ODP 108 site 661,180,71
ODP 115 site 707,280,50
DSDP 57 Site 438,700,15
DSDP 57 Site 439,851,15
ODP 129 site 800,40,80
ODP 129 site 801,60,74
ODP 129 site 802,275,57
Site 766 ,166.5,100
Site 261,204,110
