# Depth_m Time_s
7.452360000000000184e+01 1.002031909782472308e-01
7.467600000000000193e+01 1.004063639129889052e-01
7.482840000000000202e+01 1.006095188042250149e-01
7.498080000000000211e+01 1.008126556519555878e-01
7.513320000000000221e+01 1.010157744561805959e-01
7.528560000000000230e+01 1.012188752169000533e-01
7.543800000000000239e+01 1.014219579341139599e-01
7.559040000000000248e+01 1.016250226078223157e-01
7.574280000000000257e+01 1.018280692380251207e-01
7.589520000000000266e+01 1.020310978247223610e-01
7.604760000000000275e+01 1.022341083679140505e-01
7.620000000000000284e+01 1.024371008676002032e-01
7.635240000000000293e+01 1.026400753237807911e-01
7.650480000000000302e+01 1.028430317364558283e-01
7.665720000000000312e+01 1.030459701056253147e-01
7.680960000000000321e+01 1.032488904312892364e-01
7.696200000000000330e+01 1.034517927134476212e-01
7.711440000000000339e+01 1.036546769521004413e-01
7.726680000000000348e+01 1.038575431472477106e-01
7.741920000000000357e+01 1.040603912988894292e-01
7.757160000000000366e+01 1.042632214070255969e-01
7.772400000000000375e+01 1.044660334716562139e-01
7.787640000000000384e+01 1.046688274927812662e-01
7.802880000000000393e+01 1.048716034704007816e-01
7.818120000000000402e+01 1.050743614045147323e-01
7.833360000000000412e+01 1.052771012951231322e-01
7.848600000000000421e+01 1.054798231422259813e-01
7.863840000000000430e+01 1.056825269458232797e-01
7.879080000000000439e+01 1.058852127059150272e-01
7.894320000000000448e+01 1.060878804225012101e-01
7.909560000000000457e+01 1.062905300955818561e-01
7.924800000000000466e+01 1.064931617251569373e-01
7.940040000000000475e+01 1.066957753112264679e-01
7.955280000000000484e+01 1.068983708537904476e-01
7.970520000000000493e+01 1.071009483528488765e-01
7.985760000000000502e+01 1.073035078084017407e-01
8.001000000000000512e+01 1.075060492204490681e-01
8.016240000000000521e+01 1.077085725889908308e-01
8.031480000000000530e+01 1.079110779140270426e-01
8.046720000000000539e+01 1.081135651955577037e-01
8.061960000000000548e+01 1.083160344335828140e-01
8.077200000000000557e+01 1.085184856281023735e-01
8.092440000000000566e+01 1.087209187791163822e-01
8.107680000000000575e+01 1.089233338866248263e-01
8.122920000000000584e+01 1.091257309506277196e-01
8.138160000000000593e+01 1.093281099711250759e-01
8.153400000000000603e+01 1.095304709481168676e-01
8.168640000000000612e+01 1.097328138816031085e-01
8.183880000000000621e+01 1.099351387715837847e-01
8.199120000000000630e+01 1.101374456180589240e-01
8.214360000000000639e+01 1.103397344210284986e-01
8.229600000000000648e+01 1.105420051804925224e-01
8.244840000000000657e+01 1.107442578964510094e-01
8.260080000000000666e+01 1.109464925689039316e-01
8.275320000000000675e+01 1.111487091978512892e-01
8.290560000000000684e+01 1.113509077832931099e-01
8.305800000000000693e+01 1.115530883252293659e-01
8.321040000000000703e+01 1.117552508236600572e-01
8.336279999999999291e+01 1.119573952785852256e-01
8.351519999999999300e+01 1.121595216900048153e-01
8.366759999999999309e+01 1.123616300579188682e-01
8.381999999999999318e+01 1.125637203823273702e-01
8.397239999999999327e+01 1.127657926632303215e-01
8.412479999999999336e+01 1.129678469006277081e-01
8.427719999999999345e+01 1.131698830945195577e-01
8.442959999999999354e+01 1.133719012449058428e-01
8.458199999999999363e+01 1.135739013517865770e-01
8.473439999999999372e+01 1.137758834151617604e-01
8.488679999999999382e+01 1.139778474350313792e-01
8.503919999999999391e+01 1.141797934113954610e-01
8.519159999999999400e+01 1.143817213442539782e-01
8.534399999999999409e+01 1.145836312336069446e-01
8.549639999999999418e+01 1.147855230794543602e-01
8.564879999999999427e+01 1.149873968817962389e-01
8.580119999999999436e+01 1.151892526406325390e-01
8.595359999999999445e+01 1.153910903559633022e-01
8.610599999999999454e+01 1.155929100277885008e-01
8.625839999999999463e+01 1.157947116561081624e-01
8.641079999999999472e+01 1.159964952409222594e-01
8.656319999999999482e+01 1.161982607822308056e-01
8.671559999999999491e+01 1.164000082800338010e-01
8.686799999999999500e+01 1.166017377343312456e-01
8.702039999999999509e+01 1.168034491451231255e-01
8.717279999999999518e+01 1.170051425124094685e-01
8.732519999999999527e+01 1.172068178361902469e-01
