1583748.999981 5094720.200017              CB82-08 28.00 1531.7988 1531.8
1583731.222204 5094735.688905              CB82-08 29.00 1529.4265 1529.43
1583713.444427 5094751.177793              CB82-08 30.00 1529.8386 1529.84
1583695.666651 5094766.666681              CB82-08 31.00 1529.9243 1529.92
1583677.888874 5094782.155568              CB82-08 32.00 1529.7814 1529.78
1583660.111097 5094797.644456              CB82-08 33.00 1529.2799 1529.28
1583642.333321 5094813.133344              CB82-08 34.00 1528.7151 1528.72
1583624.555544 5094828.622232              CB82-08 35.00 1528.3099 1528.31
1583606.777767 5094844.111120              CB82-08 36.00 1528.3765 1528.38
1583588.999990 5094859.600008              CB82-08 37.00 1528.9325 1528.93
1583571.222214 5094875.088896              CB82-08 38.00 1529.4224 1529.42
1583553.444437 5094890.577784              CB82-08 39.00 1529.6332 1529.63
1583535.666660 5094906.066672              CB82-08 40.00 1529.4503 1529.45
1583517.888884 5094921.555560              CB82-08 41.00 1528.1238 1528.12
1583500.111107 5094937.044448              CB82-08 42.00 1526.9692 1526.97
1583482.333330 5094952.533336              CB82-08 43.00 1526.4800 1526.48
1583464.555553 5094968.022224              CB82-08 44.00 1526.2698 1526.27
1583446.777777 5094983.511112              CB82-08 45.00 1526.4908 1526.49
1583429.000000 5094999.000000              CB82-08 46.00 1526.9191 1526.92
1583411.160000 5095015.040000              CB82-08 47.00 1527.1143 1527.11
1583393.320001 5095031.079999              CB82-08 48.00 1527.3485 1527.35
1583375.480001 5095047.119999              CB82-08 49.00 1527.5034 1527.5
1583357.640002 5095063.159999              CB82-08 50.00 1527.6990 1527.7
1583339.799999 5095079.200001              CB82-08 51.00 1528.0455 1528.05
1583321.960002 5095095.239998              CB82-08 52.00 1528.7661 1528.77
1583304.119999 5095111.280000              CB82-08 53.00 1529.7678 1529.77
1583286.280003 5095127.319997              CB82-08 54.00 1530.4258 1530.43
1583268.439994 5095143.360006              CB82-08 55.00 1529.5336 1529.53
1583250.599997 5095159.400002              CB82-08 56.00 1526.9688 1526.97
1583232.760001 5095175.439999              CB82-08 57.00 1526.8358 1526.84
1583214.920005 5095191.479996              CB82-08 58.00 1527.1499 1527.15
1583197.080009 5095207.519992              CB82-08 59.00 1527.6781 1527.68
1583179.239999 5095223.560001              CB82-08 60.00 1528.2689 1528.27
1583161.399989 5095239.600010              CB82-08 61.00 1528.7008 1528.7
1583143.560006 5095255.639994              CB82-08 62.00 1528.5231 1528.52
1583125.719997 5095271.680003              CB82-08 63.00 1528.4662 1528.47
1583107.879987 5095287.720011              CB82-08 64.00 1528.3146 1528.31
1583090.040004 5095303.759996              CB82-08 65.00 1527.9166 1527.92
1583072.199995 5095319.800005              CB82-08 66.00 1527.7676 1527.77
1583054.360012 5095335.839989              CB82-08 67.00 1527.6077 1527.61
1583036.520002 5095351.879998              CB82-08 68.00 1527.4139 1527.41
1583018.679993 5095367.920007              CB82-08 69.00 1527.5878 1527.59
1583000.840010 5095383.959991              CB82-08 70.00 1527.5782 1527.58
1582983.000000 5095400.000000              CB82-08 71.00 1527.8593 1527.86
1582964.833333 5095417.750001              CB82-08 72.00 1528.2793 1528.28
1582946.666666 5095435.500001              CB82-08 73.00 1528.9369 1528.94
1582928.500000 5095453.250000              CB82-08 74.00 1529.5100 1529.51
1582910.333331 5095471.000002              CB82-08 75.00 1529.5074 1529.51
1582892.166669 5095488.749998              CB82-08 76.00 1529.3220 1529.32
1582874.000000 5095506.500000              CB82-08 77.00 1528.7418 1528.74
1582855.833338 5095524.249996              CB82-08 78.00 1527.6461 1527.65
1582837.666662 5095542.000004              CB82-08 79.00 1526.8348 1526.83
1582819.500000 5095559.750000              CB82-08 80.00 1526.3197 1526.32
1582801.333338 5095577.499996              CB82-08 81.00 1525.8749 1525.87
1582783.166662 5095595.250004              CB82-08 82.00 1525.7406 1525.74
1582765.000000 5095613.000000              CB82-08 83.00 1525.6948 1525.69
1582747.277778 5095630.055556              CB82-08 84.00 1525.6455 1525.65
1582729.555555 5095647.111111              CB82-08 85.00 1525.7839 1525.78
1582711.833332 5095664.166668              CB82-08 86.00 1526.0618 1526.06
1582694.111111 5095681.222223              CB82-08 87.00 1526.7024 1526.7
1582676.388885 5095698.277782              CB82-08 88.00 1527.3872 1527.39
1582658.666663 5095715.333336              CB82-08 89.00 1527.4169 1527.42
1582640.944442 5095732.388891              CB82-08 90.00 1526.8640 1526.86
1582623.222221 5095749.444445              CB82-08 91.00 1526.4890 1526.49
1582605.500000 5095766.500000              CB82-08 92.00 1525.6884 1525.69
1582587.777769 5095783.555564              CB82-08 93.00 1525.2955 1525.3
1582570.055558 5095800.611109              CB82-08 94.00 1525.3347 1525.33
1582552.333327 5095817.666673              CB82-08 95.00 1525.2181 1525.22
1582534.611115 5095834.722218              CB82-08 96.00 1525.3461 1525.35
1582516.888885 5095851.777782              CB82-08 97.00 1525.6196 1525.62
1582499.166673 5095868.833327              CB82-08 98.00 1525.9971 1526
1582481.444442 5095885.888891              CB82-08 99.00 1525.6497 1525.65
1582463.722231 5095902.944436              CB82-08 100.00 1525.0352 1525.04
1582446.000000 5095920.000000              CB82-08 101.00 1524.7092 1524.71
1582428.063063 5095937.414415              CB82-08 102.00 1524.4852 1524.49
1582410.126125 5095954.828830              CB82-08 103.00 1524.4414 1524.44
1582392.189188 5095972.243245              CB82-08 104.00 1524.7140 1524.71
1582374.252251 5095989.657659              CB82-08 105.00 1525.3015 1525.3
1582356.315317 5096007.072071              CB82-08 106.00 1525.9382 1525.94
1582338.378376 5096024.486489              CB82-08 107.00 1525.7887 1525.79
1582320.441442 5096041.900900              CB82-08 108.00 1525.2549 1525.25
1582302.504501 5096059.315319              CB82-08 109.00 1524.7596 1524.76
1582284.567575 5096076.729723              CB82-08 110.00 1524.2394 1524.24
1582266.630634 5096094.144141              CB82-08 111.00 1524.4316 1524.43
1582248.693693 5096111.558560              CB82-08 112.00 1525.5291 1525.53
1582230.756752 5096128.972978              CB82-08 113.00 1526.0922 1526.09
1582212.819825 5096146.387382              CB82-08 114.00 1525.5272 1525.53
1582194.882884 5096163.801801              CB82-08 115.00 1524.9424 1524.94
1582176.945958 5096181.216205              CB82-08 116.00 1524.4236 1524.42
1582159.009002 5096198.630637              CB82-08 117.00 1523.8889 1523.89
1582141.072076 5096216.045041              CB82-08 118.00 1523.7548 1523.75
1582123.135150 5096233.459445              CB82-08 119.00 1524.5544 1524.55
1582105.198194 5096250.873878              CB82-08 120.00 1525.8932 1525.89
1582087.261267 5096268.288282              CB82-08 121.00 1526.2828 1526.28
1582069.324311 5096285.702715              CB82-08 122.00 1525.4440 1525.44
1582051.387385 5096303.117119              CB82-08 123.00 1525.1062 1525.11
1582033.450459 5096320.531523              CB82-08 124.00 1525.1989 1525.2
1582015.513503 5096337.945956              CB82-08 125.00 1525.1322 1525.13
1581997.576577 5096355.360360              CB82-08 126.00 1525.2858 1525.29
1581979.639651 5096372.774764              CB82-08 127.00 1525.9485 1525.95
1581961.702695 5096390.189197              CB82-08 128.00 1526.1115 1526.11
1581943.765768 5096407.603601              CB82-08 129.00 1525.6559 1525.66
1581925.828842 5096425.018005              CB82-08 130.00 1525.3491 1525.35
1581907.891916 5096442.432409              CB82-08 131.00 1524.8262 1524.83
1581889.954930 5096459.846871              CB82-08 132.00 1524.1061 1524.11
1581872.018004 5096477.261275              CB82-08 133.00 1523.4229 1523.42
1581854.081078 5096494.675679              CB82-08 134.00 1522.2006 1522.2
1581836.144152 5096512.090083              CB82-08 135.00 1520.7949 1520.79
1581818.207225 5096529.504487              CB82-08 136.00 1519.8544 1519.85
1581800.270299 5096546.918891              CB82-08 137.00 1519.1915 1519.19
1581782.333314 5096564.333353              CB82-08 138.00 1518.8123 1518.81
1581764.396387 5096581.747757              CB82-08 139.00 1518.4216 1518.42
1581746.459461 5096599.162161              CB82-08 140.00 1517.8036 1517.8
1581728.522535 5096616.576565              CB82-08 141.00 1517.8485 1517.85
1581710.585609 5096633.990969              CB82-08 142.00 1518.5636 1518.56
1581692.648623 5096651.405430              CB82-08 143.00 1519.7498 1519.75
1581674.711697 5096668.819834              CB82-08 144.00 1520.1088 1520.11
1581656.774770 5096686.234238              CB82-08 145.00 1519.2953 1519.3
1581638.837844 5096703.648642              CB82-08 146.00 1518.3462 1518.35
1581620.900918 5096721.063046              CB82-08 147.00 1517.6992 1517.7
1581602.963992 5096738.477450              CB82-08 148.00 1517.4827 1517.48
1581585.027006 5096755.891912              CB82-08 149.00 1517.6077 1517.61
1581567.090080 5096773.306316              CB82-08 150.00 1517.7268 1517.73
1581549.153154 5096790.720720              CB82-08 151.00 1517.5867 1517.59
1581531.216227 5096808.135124              CB82-08 152.00 1517.0696 1517.07
1581513.279301 5096825.549528              CB82-08 153.00 1516.7458 1516.75
1581495.342316 5096842.963990              CB82-08 154.00 1516.7896 1516.79
1581477.405389 5096860.378394              CB82-08 155.00 1516.8468 1516.85
1581459.468463 5096877.792798              CB82-08 156.00 1517.1934 1517.19
1581441.531537 5096895.207202              CB82-08 157.00 1517.2034 1517.2
1581423.594611 5096912.621606              CB82-08 158.00 1516.9252 1516.93
1581405.657684 5096930.036010              CB82-08 159.00 1516.6136 1516.61
1581387.720758 5096947.450414              CB82-08 160.00 1516.2584 1516.26
1581369.783832 5096964.864818              CB82-08 161.00 1515.7460 1515.75
1581351.846906 5096982.279222              CB82-08 162.00 1515.3380 1515.34
1581333.909861 5096999.693741              CB82-08 163.00 1515.3280 1515.33
1581315.972934 5097017.108145              CB82-08 164.00 1515.5564 1515.56
1581298.036008 5097034.522550              CB82-08 165.00 1516.1462 1516.15
1581280.099082 5097051.936954              CB82-08 166.00 1516.5317 1516.53
1581262.162156 5097069.351358              CB82-08 167.00 1515.8674 1515.87
1581244.225230 5097086.765762              CB82-08 168.00 1514.5432 1514.54
1581226.288303 5097104.180166              CB82-08 169.00 1513.2378 1513.24
1581208.351377 5097121.594570              CB82-08 170.00 1512.6418 1512.64
1581190.414451 5097139.008974              CB82-08 171.00 1512.4263 1512.43
1581172.477525 5097156.423378              CB82-08 172.00 1512.7372 1512.74
1581154.540598 5097173.837782              CB82-08 173.00 1513.2539 1513.25
1581136.603553 5097191.252301              CB82-08 174.00 1513.4712 1513.47
1581118.666627 5097208.666705              CB82-08 175.00 1513.8572 1513.86
1581100.729701 5097226.081109              CB82-08 176.00 1514.1802 1514.18
1581082.792775 5097243.495513              CB82-08 177.00 1513.9539 1513.95
1581064.855848 5097260.909917              CB82-08 178.00 1513.4772 1513.48
1581046.918922 5097278.324321              CB82-08 179.00 1513.0348 1513.03
1581028.981996 5097295.738725              CB82-08 180.00 1512.2385 1512.24
1581011.045070 5097313.153129              CB82-08 181.00 1511.6144 1511.61
1580993.108143 5097330.567533              CB82-08 182.00 1511.1691 1511.17
1580975.171217 5097347.981937              CB82-08 183.00 1510.6454 1510.65
1580957.234291 5097365.396341              CB82-08 184.00 1510.7850 1510.79
1580939.297246 5097382.810861              CB82-08 185.00 1511.4238 1511.42
1580921.360320 5097400.225265              CB82-08 186.00 1511.6105 1511.61
1580903.423393 5097417.639669              CB82-08 187.00 1511.2374 1511.24
1580885.486467 5097435.054073              CB82-08 188.00 1510.5278 1510.53
1580867.549541 5097452.468477              CB82-08 189.00 1509.5571 1509.56
1580849.612615 5097469.882881              CB82-08 190.00 1508.4423 1508.44
1580831.675689 5097487.297285              CB82-08 191.00 1507.5444 1507.54
1580813.738762 5097504.711689              CB82-08 192.00 1506.8597 1506.86
1580795.801836 5097522.126093              CB82-08 193.00 1506.4535 1506.45
1580777.864910 5097539.540497              CB82-08 194.00 1506.3979 1506.4
1580759.927984 5097556.954901              CB82-08 195.00 1506.8296 1506.83
1580741.990939 5097574.369420              CB82-08 196.00 1507.8829 1507.88
1580724.054012 5097591.783824              CB82-08 197.00 1508.1039 1508.1
1580706.117086 5097609.198228              CB82-08 198.00 1508.0435 1508.04
1580688.180160 5097626.612632              CB82-08 199.00 1507.5280 1507.53
1580670.243234 5097644.027036              CB82-08 200.00 1507.0978 1507.1
1580652.306307 5097661.441440              CB82-08 201.00 1506.7822 1506.78
1580634.369381 5097678.855844              CB82-08 202.00 1506.1877 1506.19
1580616.432455 5097696.270248              CB82-08 203.00 1505.6290 1505.63
1580598.495529 5097713.684653              CB82-08 204.00 1504.8069 1504.81
1580580.558602 5097731.099057              CB82-08 205.00 1504.1412 1504.14
1580562.621676 5097748.513461              CB82-08 206.00 1504.0226 1504.02
1580544.684631 5097765.927980              CB82-08 207.00 1504.2119 1504.21
1580526.747705 5097783.342384              CB82-08 208.00 1504.8956 1504.9
1580508.810779 5097800.756788              CB82-08 209.00 1505.0399 1505.04
1580490.873852 5097818.171192              CB82-08 210.00 1504.8413 1504.84
1580472.936926 5097835.585596              CB82-08 211.00 1504.2908 1504.29
1580455.000000 5097853.000000              CB82-08 212.00 1504.1240 1504.12
1580436.888889 5097870.444445              CB82-08 213.00 1504.1903 1504.19
1580418.777778 5097887.888889              CB82-08 214.00 1504.4711 1504.47
1580400.666665 5097905.333335              CB82-08 215.00 1504.7354 1504.74
1580382.555555 5097922.777778              CB82-08 216.00 1504.8975 1504.9
1580364.444440 5097940.222226              CB82-08 217.00 1503.9805 1503.98
1580346.333330 5097957.666670              CB82-08 218.00 1502.3680 1502.37
1580328.222220 5097975.111113              CB82-08 219.00 1502.2153 1502.22
1580310.111110 5097992.555557              CB82-08 220.00 1502.6959 1502.7
1580292.000000 5098010.000000              CB82-08 221.00 1502.5585 1502.56
1580273.909090 5098027.000001              CB82-08 222.00 1502.8562 1502.86
1580255.818181 5098044.000001              CB82-08 223.00 1502.7958 1502.8
