1572876.689656 5105162.862068              CB82-08 634.00 1451.8937 1451.89
1572858.482750 5105180.103456              CB82-08 635.00 1451.1997 1451.2
1572840.275875 5105197.344815              CB82-08 636.00 1450.3881 1450.39
1572822.068969 5105214.586204              CB82-08 637.00 1450.3688 1450.37
1572803.862062 5105231.827592              CB82-08 638.00 1451.7733 1451.77
1572785.655188 5105249.068951              CB82-08 639.00 1452.1917 1452.19
1572767.448281 5105266.310340              CB82-08 640.00 1447.7870 1447.79
1572749.241375 5105283.551728              CB82-08 641.00 1446.2407 1446.24
1572731.034469 5105300.793117              CB82-08 642.00 1444.7642 1444.76
1572712.827594 5105318.034476              CB82-08 643.00 1444.1801 1444.18
1572694.620687 5105335.275864              CB82-08 644.00 1443.6324 1443.63
1572676.413781 5105352.517253              CB82-08 645.00 1443.4349 1443.43
1572658.206906 5105369.758611              CB82-08 646.00 1442.4036 1442.4
1572640.000000 5105387.000000              CB82-08 647.00 1441.0275 1441.03
1572622.199999 5105404.200001              CB82-08 648.00 1439.9945 1439.99
1572604.399998 5105421.400002              CB82-08 649.00 1438.4778 1438.48
1572586.599999 5105438.600001              CB82-08 650.00 1436.6945 1436.69
1572568.799996 5105455.800004              CB82-08 651.00 1435.8693 1435.87
1572550.999997 5105473.000003              CB82-08 652.00 1433.6262 1433.63
1572533.199998 5105490.200002              CB82-08 653.00 1431.6464 1431.65
1572515.399999 5105507.400001              CB82-08 654.00 1429.8533 1429.85
1572497.599993 5105524.600007              CB82-08 655.00 1427.8325 1427.83
1572479.799994 5105541.800006              CB82-08 656.00 1426.8079 1426.81
1572461.999995 5105559.000005              CB82-08 657.00 1426.2312 1426.23
1572444.199996 5105576.200004              CB82-08 658.00 1424.8729 1424.87
1572426.399997 5105593.400003              CB82-08 659.00 1423.4055 1423.41
1572408.599998 5105610.600002              CB82-08 660.00 1421.9819 1421.98
1572390.799999 5105627.800001              CB82-08 661.00 1418.9126 1418.91
1572373.000000 5105645.000000              CB82-08 662.00 1415.9924 1415.99
1572355.000000 5105662.500000              CB82-08 663.00 1413.3330 1413.33
1572336.999999 5105680.000001              CB82-08 664.00 1410.4775 1410.48
1572318.999998 5105697.500002              CB82-08 665.00 1408.8665 1408.87
1572300.999999 5105715.000001              CB82-08 666.00 1406.9589 1406.96
1572283.000000 5105732.500000              CB82-08 667.00 1405.2034 1405.2
1572264.999996 5105750.000004              CB82-08 668.00 1402.5194 1402.52
1572247.000002 5105767.499998              CB82-08 669.00 1399.9375 1399.94
1572228.999998 5105785.000002              CB82-08 670.00 1397.6594 1397.66
1572211.000004 5105802.499996              CB82-08 671.00 1395.3600 1395.36
