1572016.000000 5105999.000000              CB82-08 682.00 1916.1836 1916.18
1571999.000000 5106015.750000              CB82-08 683.00 1921.9713 1921.97
1571982.000000 5106032.500000              CB82-08 684.00 1920.4703 1920.47
1571948.000000 5106066.000000              CB82-08 686.00 1965.2784 1965.28
1571930.300000 5106083.500000              CB82-08 687.00 1970.6807 1970.68
1571912.599999 5106101.000001              CB82-08 688.00 1976.1771 1976.18
1571894.899998 5106118.500002              CB82-08 689.00 1981.8264 1981.83
1571877.199999 5106136.000001              CB82-08 690.00 1995.6919 1995.69
1571859.500000 5106153.500000              CB82-08 691.00 2002.4801 2002.48
1571841.799996 5106171.000004              CB82-08 692.00 2020.7473 2020.75
1571824.100002 5106188.499998              CB82-08 693.00 2026.5056 2026.51
1571806.399998 5106206.000002              CB82-08 694.00 2032.1467 2032.15
1571788.700004 5106223.499996              CB82-08 695.00 2039.0875 2039.09
1571771.000000 5106241.000000              CB82-08 696.00 2038.1000 2038.1
1571752.945946 5106258.351352              CB82-08 697.00 2041.3811 2041.38
1571734.891891 5106275.702704              CB82-08 698.00 2054.2214 2054.22
1571716.837840 5106293.054052              CB82-08 699.00 2071.9263 2071.93
1571698.783782 5106310.405407              CB82-08 700.00 2075.4089 2075.41
1571680.729734 5106327.756753              CB82-08 701.00 2079.1348 2079.13
1571662.675681 5106345.108103              CB82-08 702.00 2083.7607 2083.76
1571644.621617 5106362.459464              CB82-08 703.00 2089.2700 2089.27
1571626.567564 5106379.810814              CB82-08 704.00 2087.3772 2087.38
1571608.513511 5106397.162165              CB82-08 705.00 2083.0349 2083.03
1571590.459468 5106414.513506              CB82-08 706.00 2081.4875 2081.49
1571572.405404 5106431.864866              CB82-08 707.00 2081.3745 2081.37
1571554.351361 5106449.216207              CB82-08 708.00 2082.2742 2082.27
1571536.297298 5106466.567567              CB82-08 709.00 2083.7549 2083.75
1571518.243235 5106483.918927              CB82-08 710.00 2084.4668 2084.47
1571500.189191 5106501.270268              CB82-08 711.00 2083.7761 2083.78
1571482.135128 5106518.621628              CB82-08 712.00 2082.4355 2082.44
1571464.081085 5106535.972969              CB82-08 713.00 2082.6355 2082.64
1571446.027022 5106553.324329              CB82-08 714.00 2083.4900 2083.49
1571427.972978 5106570.675671              CB82-08 715.00 2085.6509 2085.65
1571409.918935 5106588.027012              CB82-08 716.00 2087.5176 2087.52
1571391.864852 5106605.378391              CB82-08 717.00 2089.9282 2089.93
1571373.810809 5106622.729732              CB82-08 718.00 2091.8782 2091.88
1571355.756765 5106640.081073              CB82-08 719.00 2094.4541 2094.45
1571337.702722 5106657.432414              CB82-08 720.00 2096.7834 2096.78
1571319.648639 5106674.783793              CB82-08 721.00 2099.7168 2099.72
1571301.594596 5106692.135134              CB82-08 722.00 2099.2600 2099.26
1571283.540552 5106709.486475              CB82-08 723.00 2095.2285 2095.23
1571265.486469 5106726.837854              CB82-08 724.00 2094.6292 2094.63
1571247.432426 5106744.189195              CB82-08 725.00 2092.0083 2092.01
1571229.378383 5106761.540536              CB82-08 726.00 2089.3875 2089.39
1571211.324339 5106778.891877              CB82-08 727.00 2086.8542 2086.85
1571193.270256 5106796.243257              CB82-08 728.00 2084.1089 2084.11
