1583802.333311 5094673.733353              CB82-08 25.00 1702.7906 1702.79
1583784.555534 5094689.222241              CB82-08 26.00 1704.6436 1704.64
1583766.777758 5094704.711129              CB82-08 27.00 1705.1631 1705.16
1583748.999981 5094720.200017              CB82-08 28.00 1705.2910 1705.29
1583731.222204 5094735.688905              CB82-08 29.00 1705.1748 1705.17
1583713.444427 5094751.177793              CB82-08 30.00 1704.9268 1704.93
1583695.666651 5094766.666681              CB82-08 31.00 1704.6450 1704.65
1583677.888874 5094782.155568              CB82-08 32.00 1703.7522 1703.75
1583660.111097 5094797.644456              CB82-08 33.00 1702.5234 1702.52
1583642.333321 5094813.133344              CB82-08 34.00 1701.3531 1701.35
1583624.555544 5094828.622232              CB82-08 35.00 1700.5125 1700.51
1583606.777767 5094844.111120              CB82-08 36.00 1700.1021 1700.1
1583588.999990 5094859.600008              CB82-08 37.00 1699.7394 1699.74
1583571.222214 5094875.088896              CB82-08 38.00 1699.3231 1699.32
1583553.444437 5094890.577784              CB82-08 39.00 1698.4186 1698.42
1583535.666660 5094906.066672              CB82-08 40.00 1696.6763 1696.68
1583517.888884 5094921.555560              CB82-08 41.00 1695.4015 1695.4
1583500.111107 5094937.044448              CB82-08 42.00 1694.7440 1694.74
1583482.333330 5094952.533336              CB82-08 43.00 1694.2361 1694.24
1583464.555553 5094968.022224              CB82-08 44.00 1692.4994 1692.5
1583429.000000 5094999.000000              CB82-08 46.00 1684.3026 1684.3
1583411.160000 5095015.040000              CB82-08 47.00 1688.4908 1688.49
1583393.320001 5095031.079999              CB82-08 48.00 1690.6658 1690.67
1583375.480001 5095047.119999              CB82-08 49.00 1691.2656 1691.27
1583357.640002 5095063.159999              CB82-08 50.00 1691.3973 1691.4
1583339.799999 5095079.200001              CB82-08 51.00 1691.3044 1691.3
1583321.960002 5095095.239998              CB82-08 52.00 1691.1735 1691.17
1583304.119999 5095111.280000              CB82-08 53.00 1689.9922 1689.99
1583286.280003 5095127.319997              CB82-08 54.00 1689.8268 1689.83
1583268.439994 5095143.360006              CB82-08 55.00 1690.8727 1690.87
1583250.599997 5095159.400002              CB82-08 56.00 1691.6127 1691.61
1583197.080009 5095207.519992              CB82-08 59.00 1674.5511 1674.55
1583179.239999 5095223.560001              CB82-08 60.00 1678.1569 1678.16
1583161.399989 5095239.600010              CB82-08 61.00 1685.4435 1685.44
1583143.560006 5095255.639994              CB82-08 62.00 1686.6072 1686.61
1583125.719997 5095271.680003              CB82-08 63.00 1687.3342 1687.33
1583107.879987 5095287.720011              CB82-08 64.00 1687.6018 1687.6
1583090.040004 5095303.759996              CB82-08 65.00 1686.8643 1686.86
1583072.199995 5095319.800005              CB82-08 66.00 1684.5306 1684.53
1583054.360012 5095335.839989              CB82-08 67.00 1684.0857 1684.09
1583036.520002 5095351.879998              CB82-08 68.00 1684.7762 1684.78
1583018.679993 5095367.920007              CB82-08 69.00 1684.6563 1684.66
1583000.840010 5095383.959991              CB82-08 70.00 1685.6730 1685.67
1582983.000000 5095400.000000              CB82-08 71.00 1668.9009 1668.9
1582964.833333 5095417.750001              CB82-08 72.00 1664.8346 1664.83
1582946.666666 5095435.500001              CB82-08 73.00 1663.5920 1663.59
1582928.500000 5095453.250000              CB82-08 74.00 1663.1188 1663.12
1582910.333331 5095471.000002              CB82-08 75.00 1664.0106 1664.01
1582892.166669 5095488.749998              CB82-08 76.00 1664.5089 1664.51
1582874.000000 5095506.500000              CB82-08 77.00 1663.8179 1663.82
1582855.833338 5095524.249996              CB82-08 78.00 1662.8995 1662.9
1582837.666662 5095542.000004              CB82-08 79.00 1662.4696 1662.47
1582819.500000 5095559.750000              CB82-08 80.00 1663.4159 1663.42
1582801.333338 5095577.499996              CB82-08 81.00 1664.4337 1664.43
1582783.166662 5095595.250004              CB82-08 82.00 1665.8138 1665.81
1582765.000000 5095613.000000              CB82-08 83.00 1667.0714 1667.07
1582747.277778 5095630.055556              CB82-08 84.00 1667.5583 1667.56
1582729.555555 5095647.111111              CB82-08 85.00 1667.3921 1667.39
1582711.833332 5095664.166668              CB82-08 86.00 1666.9436 1666.94
1582694.111111 5095681.222223              CB82-08 87.00 1666.2582 1666.26
