1583731.222204 5094735.688905              CB82-08 29.00 1506.0266 1506.03
1583713.444427 5094751.177793              CB82-08 30.00 1507.0421 1507.04
1583695.666651 5094766.666681              CB82-08 31.00 1507.6887 1507.69
1583677.888874 5094782.155568              CB82-08 32.00 1507.7284 1507.73
1583660.111097 5094797.644456              CB82-08 33.00 1507.2775 1507.28
1583642.333321 5094813.133344              CB82-08 34.00 1506.7186 1506.72
1583624.555544 5094828.622232              CB82-08 35.00 1506.0079 1506.01
1583606.777767 5094844.111120              CB82-08 36.00 1505.1298 1505.13
1583588.999990 5094859.600008              CB82-08 37.00 1504.2729 1504.27
1583571.222214 5094875.088896              CB82-08 38.00 1503.6282 1503.63
1583553.444437 5094890.577784              CB82-08 39.00 1503.2655 1503.27
1583535.666660 5094906.066672              CB82-08 40.00 1502.9521 1502.95
1583517.888884 5094921.555560              CB82-08 41.00 1502.4971 1502.5
1583500.111107 5094937.044448              CB82-08 42.00 1502.0947 1502.09
1583482.333330 5094952.533336              CB82-08 43.00 1501.5895 1501.59
1583464.555553 5094968.022224              CB82-08 44.00 1501.2062 1501.21
1583446.777777 5094983.511112              CB82-08 45.00 1501.0739 1501.07
1583429.000000 5094999.000000              CB82-08 46.00 1501.1543 1501.15
1583411.160000 5095015.040000              CB82-08 47.00 1501.5527 1501.55
1583393.320001 5095031.079999              CB82-08 48.00 1501.6431 1501.64
1583375.480001 5095047.119999              CB82-08 49.00 1501.3024 1501.3
1583357.640002 5095063.159999              CB82-08 50.00 1500.8284 1500.83
1583339.799999 5095079.200001              CB82-08 51.00 1500.6423 1500.64
1583321.960002 5095095.239998              CB82-08 52.00 1500.3920 1500.39
1583304.119999 5095111.280000              CB82-08 53.00 1500.0737 1500.07
1583286.280003 5095127.319997              CB82-08 54.00 1499.7776 1499.78
1583268.439994 5095143.360006              CB82-08 55.00 1499.8971 1499.9
1583250.599997 5095159.400002              CB82-08 56.00 1500.2316 1500.23
1583232.760001 5095175.439999              CB82-08 57.00 1500.6349 1500.63
1583214.920005 5095191.479996              CB82-08 58.00 1501.3976 1501.4
1583197.080009 5095207.519992              CB82-08 59.00 1502.1378 1502.14
1583179.239999 5095223.560001              CB82-08 60.00 1502.5869 1502.59
1583161.399989 5095239.600010              CB82-08 61.00 1502.6577 1502.66
1583143.560006 5095255.639994              CB82-08 62.00 1502.6631 1502.66
1583125.719997 5095271.680003              CB82-08 63.00 1502.6881 1502.69
1583107.879987 5095287.720011              CB82-08 64.00 1502.6366 1502.64
1583090.040004 5095303.759996              CB82-08 65.00 1502.6868 1502.69
