1583713.444427 5094751.177793              CB82-08 30.00 1481.7977 1481.8
1583695.666651 5094766.666681              CB82-08 31.00 1482.5326 1482.53
1583677.888874 5094782.155568              CB82-08 32.00 1482.3223 1482.32
1583660.111097 5094797.644456              CB82-08 33.00 1481.8132 1481.81
1583642.333321 5094813.133344              CB82-08 34.00 1481.0928 1481.09
1583624.555544 5094828.622232              CB82-08 35.00 1480.1359 1480.14
1583606.777767 5094844.111120              CB82-08 36.00 1479.1376 1479.14
1583588.999990 5094859.600008              CB82-08 37.00 1478.1323 1478.13
1583571.222214 5094875.088896              CB82-08 38.00 1477.2256 1477.23
1583553.444437 5094890.577784              CB82-08 39.00 1477.0277 1477.03
1583535.666660 5094906.066672              CB82-08 40.00 1476.9431 1476.94
1583517.888884 5094921.555560              CB82-08 41.00 1476.0913 1476.09
1583500.111107 5094937.044448              CB82-08 42.00 1475.0802 1475.08
1583482.333330 5094952.533336              CB82-08 43.00 1474.2357 1474.24
1583464.555553 5094968.022224              CB82-08 44.00 1473.8029 1473.8
1583446.777777 5094983.511112              CB82-08 45.00 1473.5002 1473.5
1583429.000000 5094999.000000              CB82-08 46.00 1473.3430 1473.34
1583411.160000 5095015.040000              CB82-08 47.00 1473.0569 1473.06
1583393.320001 5095031.079999              CB82-08 48.00 1472.8269 1472.83
1583375.480001 5095047.119999              CB82-08 49.00 1472.4854 1472.49
1583357.640002 5095063.159999              CB82-08 50.00 1472.1455 1472.15
1583339.799999 5095079.200001              CB82-08 51.00 1471.7288 1471.73
1583321.960002 5095095.239998              CB82-08 52.00 1471.2679 1471.27
1583304.119999 5095111.280000              CB82-08 53.00 1470.4812 1470.48
1583286.280003 5095127.319997              CB82-08 54.00 1470.1111 1470.11
1583268.439994 5095143.360006              CB82-08 55.00 1470.1649 1470.16
1583250.599997 5095159.400002              CB82-08 56.00 1470.2482 1470.25
1583232.760001 5095175.439999              CB82-08 57.00 1470.5825 1470.58
1583214.920005 5095191.479996              CB82-08 58.00 1471.1620 1471.16
1583197.080009 5095207.519992              CB82-08 59.00 1471.6277 1471.63
1583179.239999 5095223.560001              CB82-08 60.00 1472.1075 1472.11
1583161.399989 5095239.600010              CB82-08 61.00 1472.6219 1472.62
1583143.560006 5095255.639994              CB82-08 62.00 1473.0170 1473.02
1583125.719997 5095271.680003              CB82-08 63.00 1473.3613 1473.36
1583107.879987 5095287.720011              CB82-08 64.00 1473.7037 1473.7
1583090.040004 5095303.759996              CB82-08 65.00 1473.9877 1473.99
1583072.199995 5095319.800005              CB82-08 66.00 1474.1840 1474.18
1583054.360012 5095335.839989              CB82-08 67.00 1474.3529 1474.35
1583036.520002 5095351.879998              CB82-08 68.00 1474.5048 1474.5
1583018.679993 5095367.920007              CB82-08 69.00 1474.4510 1474.45
1583000.840010 5095383.959991              CB82-08 70.00 1474.5533 1474.55
1582983.000000 5095400.000000              CB82-08 71.00 1474.6953 1474.7
1582964.833333 5095417.750001              CB82-08 72.00 1474.7412 1474.74
1582946.666666 5095435.500001              CB82-08 73.00 1474.8431 1474.84
1582928.500000 5095453.250000              CB82-08 74.00 1474.9531 1474.95
1582910.333331 5095471.000002              CB82-08 75.00 1474.8781 1474.88
1582892.166669 5095488.749998              CB82-08 76.00 1474.6198 1474.62
1582874.000000 5095506.500000              CB82-08 77.00 1474.3719 1474.37
1582855.833338 5095524.249996              CB82-08 78.00 1473.9783 1473.98
1582837.666662 5095542.000004              CB82-08 79.00 1473.6655 1473.67
1582819.500000 5095559.750000              CB82-08 80.00 1473.6089 1473.61
1582801.333338 5095577.499996              CB82-08 81.00 1473.1931 1473.19
1582783.166662 5095595.250004              CB82-08 82.00 1472.7214 1472.72
1582765.000000 5095613.000000              CB82-08 83.00 1472.4078 1472.41
1582747.277778 5095630.055556              CB82-08 84.00 1472.2146 1472.21
1582729.555555 5095647.111111              CB82-08 85.00 1471.9698 1471.97
1582711.833332 5095664.166668              CB82-08 86.00 1471.8835 1471.88
1582694.111111 5095681.222223              CB82-08 87.00 1472.0596 1472.06
1582676.388885 5095698.277782              CB82-08 88.00 1471.8513 1471.85
1582658.666663 5095715.333336              CB82-08 89.00 1471.7389 1471.74
1582640.944442 5095732.388891              CB82-08 90.00 1471.6290 1471.63
1582623.222221 5095749.444445              CB82-08 91.00 1471.4099 1471.41
1582605.500000 5095766.500000              CB82-08 92.00 1471.4180 1471.42
1582587.777769 5095783.555564              CB82-08 93.00 1471.5282 1471.53
1582570.055558 5095800.611109              CB82-08 94.00 1471.3831 1471.38
