1583304.119999 5095111.280000              CB82-08 53.00 131.7336 131.734
1583286.280003 5095127.319997              CB82-08 54.00 134.4425 134.442
1583268.439994 5095143.360006              CB82-08 55.00 135.3890 135.389
1583250.599997 5095159.400002              CB82-08 56.00 135.0768 135.077
1583232.760001 5095175.439999              CB82-08 57.00 135.8158 135.816
1583214.920005 5095191.479996              CB82-08 58.00 135.8206 135.821
1583197.080009 5095207.519992              CB82-08 59.00 136.2428 136.243
1583179.239999 5095223.560001              CB82-08 60.00 136.4601 136.46
1583161.399989 5095239.600010              CB82-08 61.00 136.3470 136.347
1583143.560006 5095255.639994              CB82-08 62.00 136.3094 136.309
1583125.719997 5095271.680003              CB82-08 63.00 136.0430 136.043
1583107.879987 5095287.720011              CB82-08 64.00 136.0309 136.031
1583090.040004 5095303.759996              CB82-08 65.00 135.8857 135.886
1583072.199995 5095319.800005              CB82-08 66.00 135.4925 135.493
1583054.360012 5095335.839989              CB82-08 67.00 135.4925 135.493
1583036.520002 5095351.879998              CB82-08 68.00 135.4139 135.414
1583018.679993 5095367.920007              CB82-08 69.00 135.1779 135.178
1583000.840010 5095383.959991              CB82-08 70.00 134.9421 134.942
1582983.000000 5095400.000000              CB82-08 71.00 134.5131 134.513
1582964.833333 5095417.750001              CB82-08 72.00 134.3495 134.35
1582946.666666 5095435.500001              CB82-08 73.00 133.9016 133.902
1582928.500000 5095453.250000              CB82-08 74.00 133.9984 133.998
1582910.333331 5095471.000002              CB82-08 75.00 133.4322 133.432
1582892.166669 5095488.749998              CB82-08 76.00 133.0137 133.014
1582874.000000 5095506.500000              CB82-08 77.00 132.7905 132.791
1582855.833338 5095524.249996              CB82-08 78.00 132.6258 132.626
1582837.666662 5095542.000004              CB82-08 79.00 132.3037 132.304
1582819.500000 5095559.750000              CB82-08 80.00 132.3208 132.321
1582801.333338 5095577.499996              CB82-08 81.00 132.3807 132.381
1582783.166662 5095595.250004              CB82-08 82.00 131.9906 131.991
1582765.000000 5095613.000000              CB82-08 83.00 132.1897 132.19
1582747.277778 5095630.055556              CB82-08 84.00 132.0290 132.029
1582729.555555 5095647.111111              CB82-08 85.00 131.7965 131.797
1582711.833332 5095664.166668              CB82-08 86.00 131.4563 131.456
1582694.111111 5095681.222223              CB82-08 87.00 130.7505 130.75
1582676.388885 5095698.277782              CB82-08 88.00 130.3718 130.372
1582658.666663 5095715.333336              CB82-08 89.00 130.4700 130.47
1582640.944442 5095732.388891              CB82-08 90.00 130.1498 130.15
1582623.222221 5095749.444445              CB82-08 91.00 130.1452 130.145
