1572300.999999 5105715.000001              CB82-08 666.00 1.5663 7.85296
1572283.000000 5105732.500000              CB82-08 667.00 1.5700 -3.34398
1572264.999996 5105750.000004              CB82-08 668.00 1.5736 -2.04082
1572247.000002 5105767.499998              CB82-08 669.00 1.5773 -1.08573
1572228.999998 5105785.000002              CB82-08 670.00 1.5809 -6.16094
1572211.000004 5105802.499996              CB82-08 671.00 1.5846 -4.45132
1572193.000000 5105820.000000              CB82-08 672.00 1.5882 -3.70442
1572175.300000 5105837.900000              CB82-08 673.00 1.5937 -6.31729
1572157.599999 5105855.800001              CB82-08 674.00 1.5990 -4.707
1572139.899998 5105873.700002              CB82-08 675.00 1.6044 -12.6856
1572122.199999 5105891.600001              CB82-08 676.00 1.6098 -12.1702
1572104.500000 5105909.500000              CB82-08 677.00 1.6152 -5.39337
1572086.799996 5105927.400004              CB82-08 678.00 1.6206 -2.84417
1572069.100002 5105945.299998              CB82-08 679.00 1.6260 0.4598
1572051.399998 5105963.200002              CB82-08 680.00 1.6314 4.66568
1572033.700004 5105981.099996              CB82-08 681.00 1.6368 8.5396
1572016.000000 5105999.000000              CB82-08 682.00 1.6422 6.41493
1571999.000000 5106015.750000              CB82-08 683.00 1.6476 0.648819
1571982.000000 5106032.500000              CB82-08 684.00 1.6560 -2.93639
1571965.000000 5106049.250000              CB82-08 685.00 1.6647 4.33934
1571948.000000 5106066.000000              CB82-08 686.00 1.6698 7.60427
1571930.300000 5106083.500000              CB82-08 687.00 1.6756 -3.40691
1571912.599999 5106101.000001              CB82-08 688.00 1.6814 -9.40012
1571894.899998 5106118.500002              CB82-08 689.00 1.6872 -11.0196
1571877.199999 5106136.000001              CB82-08 690.00 1.6925 -18.4478
1571859.500000 5106153.500000              CB82-08 691.00 1.6951 -22.5368
1571841.799996 5106171.000004              CB82-08 692.00 1.6983 -22.5522
1571824.100002 5106188.499998              CB82-08 693.00 1.7009 -18.1859
1571806.399998 5106206.000002              CB82-08 694.00 1.7119 -12.1447
1571788.700004 5106223.499996              CB82-08 695.00 1.7168 -19.5454
1571771.000000 5106241.000000              CB82-08 696.00 1.7216 -14.7682
1571752.945946 5106258.351352              CB82-08 697.00 1.7264 -2.01875
1571734.891891 5106275.702704              CB82-08 698.00 1.7290 -0.157726
1571716.837840 5106293.054052              CB82-08 699.00 1.7316 -0.68943
1571698.783782 5106310.405407              CB82-08 700.00 1.7341 0.248031
1571680.729734 5106327.756753              CB82-08 701.00 1.7366 -0.846186
1571662.675681 5106345.108103              CB82-08 702.00 1.7390 -4.78735
1571644.621617 5106362.459464              CB82-08 703.00 1.7408 -6.62261
1571626.567564 5106379.810814              CB82-08 704.00 1.7426 -5.75669
1571608.513511 5106397.162165              CB82-08 705.00 1.7421 -4.68872
1571590.459468 5106414.513506              CB82-08 706.00 1.7413 -4.21158
1571572.405404 5106431.864866              CB82-08 707.00 1.7410 -3.88691
