1583090.040004 5095303.759996              CB82-08 65.00 1394.6683 1394.67
1583072.199995 5095319.800005              CB82-08 66.00 1394.4595 1394.46
1583054.360012 5095335.839989              CB82-08 67.00 1392.1294 1392.13
1583036.520002 5095351.879998              CB82-08 68.00 1392.6543 1392.65
1583018.679993 5095367.920007              CB82-08 69.00 1392.7997 1392.8
1583000.840010 5095383.959991              CB82-08 70.00 1392.4150 1392.42
1582983.000000 5095400.000000              CB82-08 71.00 1391.7957 1391.8
1582964.833333 5095417.750001              CB82-08 72.00 1392.5817 1392.58
1582946.666666 5095435.500001              CB82-08 73.00 1392.5594 1392.56
1582928.500000 5095453.250000              CB82-08 74.00 1391.2485 1391.25
1582910.333331 5095471.000002              CB82-08 75.00 1391.4418 1391.44
1582892.166669 5095488.749998              CB82-08 76.00 1390.2035 1390.2
1582874.000000 5095506.500000              CB82-08 77.00 1389.4093 1389.41
1582855.833338 5095524.249996              CB82-08 78.00 1388.1865 1388.19
1582837.666662 5095542.000004              CB82-08 79.00 1388.0127 1388.01
1582819.500000 5095559.750000              CB82-08 80.00 1388.7893 1388.79
1582801.333338 5095577.499996              CB82-08 81.00 1388.4341 1388.43
1582783.166662 5095595.250004              CB82-08 82.00 1387.9491 1387.95
1582765.000000 5095613.000000              CB82-08 83.00 1387.7454 1387.75
1582747.277778 5095630.055556              CB82-08 84.00 1387.6322 1387.63
1582729.555555 5095647.111111              CB82-08 85.00 1387.2919 1387.29
1582711.833332 5095664.166668              CB82-08 86.00 1387.0525 1387.05
1582694.111111 5095681.222223              CB82-08 87.00 1387.1881 1387.19
1582676.388885 5095698.277782              CB82-08 88.00 1386.9220 1386.92
1582658.666663 5095715.333336              CB82-08 89.00 1386.9994 1387
1582640.944442 5095732.388891              CB82-08 90.00 1387.8124 1387.81
1582623.222221 5095749.444445              CB82-08 91.00 1387.3416 1387.34
1582605.500000 5095766.500000              CB82-08 92.00 1387.4316 1387.43
1582587.777769 5095783.555564              CB82-08 93.00 1389.7030 1389.7
1582570.055558 5095800.611109              CB82-08 94.00 1389.7943 1389.79
1582552.333327 5095817.666673              CB82-08 95.00 1388.8281 1388.83
1582534.611115 5095834.722218              CB82-08 96.00 1388.4098 1388.41
1582516.888885 5095851.777782              CB82-08 97.00 1387.7998 1387.8
1582499.166673 5095868.833327              CB82-08 98.00 1388.2092 1388.21
1582481.444442 5095885.888891              CB82-08 99.00 1388.4120 1388.41
1582463.722231 5095902.944436              CB82-08 100.00 1388.3821 1388.38
1582446.000000 5095920.000000              CB82-08 101.00 1388.3334 1388.33
1582428.063063 5095937.414415              CB82-08 102.00 1388.4304 1388.43
1582410.126125 5095954.828830              CB82-08 103.00 1387.4186 1387.42
1582392.189188 5095972.243245              CB82-08 104.00 1386.6215 1386.62
1582374.252251 5095989.657659              CB82-08 105.00 1386.6942 1386.69
1582356.315317 5096007.072071              CB82-08 106.00 1385.9064 1385.91
1582338.378376 5096024.486489              CB82-08 107.00 1385.5125 1385.51
1582320.441442 5096041.900900              CB82-08 108.00 1385.9097 1385.91
1582302.504501 5096059.315319              CB82-08 109.00 1386.2969 1386.3
1582284.567575 5096076.729723              CB82-08 110.00 1385.3768 1385.38
1582266.630634 5096094.144141              CB82-08 111.00 1385.3302 1385.33
1582248.693693 5096111.558560              CB82-08 112.00 1385.3544 1385.35
1582230.756752 5096128.972978              CB82-08 113.00 1385.3208 1385.32
1582212.819825 5096146.387382              CB82-08 114.00 1385.5698 1385.57
1582194.882884 5096163.801801              CB82-08 115.00 1386.0831 1386.08
1582176.945958 5096181.216205              CB82-08 116.00 1385.9940 1385.99
1582159.009002 5096198.630637              CB82-08 117.00 1385.2657 1385.27
1582141.072076 5096216.045041              CB82-08 118.00 1385.2593 1385.26
1582123.135150 5096233.459445              CB82-08 119.00 1385.1619 1385.16
1582105.198194 5096250.873878              CB82-08 120.00 1384.5118 1384.51
1582087.261267 5096268.288282              CB82-08 121.00 1383.5763 1383.58
1582069.324311 5096285.702715              CB82-08 122.00 1383.4950 1383.49
1582051.387385 5096303.117119              CB82-08 123.00 1382.2930 1382.29
1582033.450459 5096320.531523              CB82-08 124.00 1381.8430 1381.84
1582015.513503 5096337.945956              CB82-08 125.00 1382.3927 1382.39
1581997.576577 5096355.360360              CB82-08 126.00 1381.6791 1381.68
1581979.639651 5096372.774764              CB82-08 127.00 1382.1699 1382.17
1581961.702695 5096390.189197              CB82-08 128.00 1383.5704 1383.57
1581943.765768 5096407.603601              CB82-08 129.00 1383.2500 1383.25
1581925.828842 5096425.018005              CB82-08 130.00 1382.7596 1382.76
1581907.891916 5096442.432409              CB82-08 131.00 1382.5961 1382.6
1581889.954930 5096459.846871              CB82-08 132.00 1381.6641 1381.66
1581872.018004 5096477.261275              CB82-08 133.00 1381.9093 1381.91
1581854.081078 5096494.675679              CB82-08 134.00 1381.9166 1381.92
1581836.144152 5096512.090083              CB82-08 135.00 1382.5200 1382.52
1581818.207225 5096529.504487              CB82-08 136.00 1382.2449 1382.24
1581800.270299 5096546.918891              CB82-08 137.00 1380.8464 1380.85
1581782.333314 5096564.333353              CB82-08 138.00 1381.8260 1381.83
1581764.396387 5096581.747757              CB82-08 139.00 1381.3262 1381.33
1581746.459461 5096599.162161              CB82-08 140.00 1380.1503 1380.15
1581728.522535 5096616.576565              CB82-08 141.00 1379.8973 1379.9
1581710.585609 5096633.990969              CB82-08 142.00 1379.4637 1379.46
1581692.648623 5096651.405430              CB82-08 143.00 1379.5331 1379.53
