1583535.666660 5094906.066672              CB82-08 40.00 1003.8991 1003.9
1583517.888884 5094921.555560              CB82-08 41.00 1004.7604 1004.76
1583500.111107 5094937.044448              CB82-08 42.00 1005.2913 1005.29
1583482.333330 5094952.533336              CB82-08 43.00 1005.3527 1005.35
1583464.555553 5094968.022224              CB82-08 44.00 1004.9213 1004.92
1583446.777777 5094983.511112              CB82-08 45.00 1004.2346 1004.23
1583429.000000 5094999.000000              CB82-08 46.00 1003.7040 1003.7
1583411.160000 5095015.040000              CB82-08 47.00 1003.5295 1003.53
1583393.320001 5095031.079999              CB82-08 48.00 1003.3054 1003.31
1583375.480001 5095047.119999              CB82-08 49.00 1003.2702 1003.27
1583357.640002 5095063.159999              CB82-08 50.00 1002.6715 1002.67
1583339.799999 5095079.200001              CB82-08 51.00 1001.9109 1001.91
1583321.960002 5095095.239998              CB82-08 52.00 1001.5278 1001.53
1583304.119999 5095111.280000              CB82-08 53.00 1001.4615 1001.46
1583286.280003 5095127.319997              CB82-08 54.00 1000.8987 1000.9
1583268.439994 5095143.360006              CB82-08 55.00 1000.2698 1000.27
1583250.599997 5095159.400002              CB82-08 56.00 999.9793 999.979
1583232.760001 5095175.439999              CB82-08 57.00 999.5045 999.505
1583214.920005 5095191.479996              CB82-08 58.00 998.9756 998.976
1583197.080009 5095207.519992              CB82-08 59.00 998.5419 998.542
1583179.239999 5095223.560001              CB82-08 60.00 998.3824 998.382
1583161.399989 5095239.600010              CB82-08 61.00 998.7488 998.749
1583143.560006 5095255.639994              CB82-08 62.00 998.4838 998.484
1583125.719997 5095271.680003              CB82-08 63.00 998.2403 998.24
1583107.879987 5095287.720011              CB82-08 64.00 997.5651 997.565
1583090.040004 5095303.759996              CB82-08 65.00 996.7888 996.789
1583072.199995 5095319.800005              CB82-08 66.00 996.4533 996.453
1583054.360012 5095335.839989              CB82-08 67.00 996.2651 996.265
1583036.520002 5095351.879998              CB82-08 68.00 995.8445 995.844
1583018.679993 5095367.920007              CB82-08 69.00 995.4462 995.446
1583000.840010 5095383.959991              CB82-08 70.00 995.0250 995.025
1582983.000000 5095400.000000              CB82-08 71.00 994.2396 994.24
1582964.833333 5095417.750001              CB82-08 72.00 993.8713 993.871
1582946.666666 5095435.500001              CB82-08 73.00 993.8042 993.804
1582928.500000 5095453.250000              CB82-08 74.00 993.3621 993.362
1582910.333331 5095471.000002              CB82-08 75.00 992.6746 992.675
1582892.166669 5095488.749998              CB82-08 76.00 991.9485 991.948
1582874.000000 5095506.500000              CB82-08 77.00 991.8398 991.84
1582855.833338 5095524.249996              CB82-08 78.00 991.3600 991.36
1582837.666662 5095542.000004              CB82-08 79.00 991.3774 991.377
1582819.500000 5095559.750000              CB82-08 80.00 990.7073 990.707
1582801.333338 5095577.499996              CB82-08 81.00 990.4977 990.498
1582783.166662 5095595.250004              CB82-08 82.00 990.4771 990.477
1582765.000000 5095613.000000              CB82-08 83.00 990.1058 990.106
1582747.277778 5095630.055556              CB82-08 84.00 989.3262 989.326
1582729.555555 5095647.111111              CB82-08 85.00 989.0117 989.012
1582711.833332 5095664.166668              CB82-08 86.00 988.4238 988.424
1582694.111111 5095681.222223              CB82-08 87.00 988.2308 988.231
1582676.388885 5095698.277782              CB82-08 88.00 987.4080 987.408
1582658.666663 5095715.333336              CB82-08 89.00 987.3956 987.396
1582640.944442 5095732.388891              CB82-08 90.00 986.9749 986.975
1582623.222221 5095749.444445              CB82-08 91.00 986.7304 986.73
1582605.500000 5095766.500000              CB82-08 92.00 986.5062 986.506
1582587.777769 5095783.555564              CB82-08 93.00 986.2686 986.269
1582570.055558 5095800.611109              CB82-08 94.00 986.4894 986.489
1582552.333327 5095817.666673              CB82-08 95.00 986.0739 986.074
1582534.611115 5095834.722218              CB82-08 96.00 986.1231 986.123
1582516.888885 5095851.777782              CB82-08 97.00 985.8965 985.897
1582499.166673 5095868.833327              CB82-08 98.00 985.5952 985.595
1582481.444442 5095885.888891              CB82-08 99.00 985.0855 985.086
1582463.722231 5095902.944436              CB82-08 100.00 985.0645 985.064
1582446.000000 5095920.000000              CB82-08 101.00 985.0893 985.089
1582428.063063 5095937.414415              CB82-08 102.00 984.9138 984.914
1582410.126125 5095954.828830              CB82-08 103.00 984.8407 984.841
1582392.189188 5095972.243245              CB82-08 104.00 984.6006 984.601
1582374.252251 5095989.657659              CB82-08 105.00 984.6645 984.664
1582356.315317 5096007.072071              CB82-08 106.00 984.2997 984.3
1582338.378376 5096024.486489              CB82-08 107.00 984.4191 984.419
1582320.441442 5096041.900900              CB82-08 108.00 984.2923 984.292
1582302.504501 5096059.315319              CB82-08 109.00 983.8860 983.886
1582284.567575 5096076.729723              CB82-08 110.00 983.6260 983.626
1582266.630634 5096094.144141              CB82-08 111.00 983.0430 983.043
1582248.693693 5096111.558560              CB82-08 112.00 982.8121 982.812
1582230.756752 5096128.972978              CB82-08 113.00 983.1426 983.143
1582212.819825 5096146.387382              CB82-08 114.00 983.1795 983.18
1582194.882884 5096163.801801              CB82-08 115.00 982.3813 982.381
1582176.945958 5096181.216205              CB82-08 116.00 981.8322 981.832
1582159.009002 5096198.630637              CB82-08 117.00 981.9471 981.947
1582141.072076 5096216.045041              CB82-08 118.00 982.4575 982.457
1582123.135150 5096233.459445              CB82-08 119.00 982.3632 982.363
1582105.198194 5096250.873878              CB82-08 120.00 981.7866 981.787
1582087.261267 5096268.288282              CB82-08 121.00 981.1887 981.189
1582069.324311 5096285.702715              CB82-08 122.00 980.5256 980.526
1582051.387385 5096303.117119              CB82-08 123.00 980.2454 980.245
1582033.450459 5096320.531523              CB82-08 124.00 979.8846 979.885
1582015.513503 5096337.945956              CB82-08 125.00 979.5887 979.589
1581997.576577 5096355.360360              CB82-08 126.00 979.2385 979.239
1581979.639651 5096372.774764              CB82-08 127.00 978.7572 978.757
1581961.702695 5096390.189197              CB82-08 128.00 977.5913 977.591
1581943.765768 5096407.603601              CB82-08 129.00 976.5489 976.549
1581925.828842 5096425.018005              CB82-08 130.00 976.0562 976.056
1581907.891916 5096442.432409              CB82-08 131.00 975.7348 975.735
1581889.954930 5096459.846871              CB82-08 132.00 974.9799 974.98
1581872.018004 5096477.261275              CB82-08 133.00 974.6751 974.675
1581854.081078 5096494.675679              CB82-08 134.00 974.4972 974.497
1581836.144152 5096512.090083              CB82-08 135.00 974.1079 974.108
1581818.207225 5096529.504487              CB82-08 136.00 973.7776 973.778
1581800.270299 5096546.918891              CB82-08 137.00 973.6965 973.696
1581782.333314 5096564.333353              CB82-08 138.00 973.4434 973.443
1581764.396387 5096581.747757              CB82-08 139.00 973.3107 973.311
1581746.459461 5096599.162161              CB82-08 140.00 973.4559 973.456
1581728.522535 5096616.576565              CB82-08 141.00 973.2065 973.206
1581710.585609 5096633.990969              CB82-08 142.00 973.0071 973.007
1581692.648623 5096651.405430              CB82-08 143.00 972.6425 972.642
1581674.711697 5096668.819834              CB82-08 144.00 972.2374 972.237
