1583695.666651 5094766.666681              CB82-08 31.00 1388.6863 1388.69
1583677.888874 5094782.155568              CB82-08 32.00 1390.8754 1390.88
1583660.111097 5094797.644456              CB82-08 33.00 1393.1648 1393.16
1583642.333321 5094813.133344              CB82-08 34.00 1393.9956 1394
1583624.555544 5094828.622232              CB82-08 35.00 1392.3577 1392.36
1583606.777767 5094844.111120              CB82-08 36.00 1392.3729 1392.37
1583588.999990 5094859.600008              CB82-08 37.00 1392.3839 1392.38
1583571.222214 5094875.088896              CB82-08 38.00 1391.4948 1391.49
1583553.444437 5094890.577784              CB82-08 39.00 1391.0044 1391
1583535.666660 5094906.066672              CB82-08 40.00 1390.1383 1390.14
1583517.888884 5094921.555560              CB82-08 41.00 1390.8878 1390.89
1583500.111107 5094937.044448              CB82-08 42.00 1390.1445 1390.14
1583482.333330 5094952.533336              CB82-08 43.00 1388.6570 1388.66
1583464.555553 5094968.022224              CB82-08 44.00 1388.6127 1388.61
1583446.777777 5094983.511112              CB82-08 45.00 1389.1361 1389.14
1583429.000000 5094999.000000              CB82-08 46.00 1389.7559 1389.76
1583411.160000 5095015.040000              CB82-08 47.00 1390.0111 1390.01
1583393.320001 5095031.079999              CB82-08 48.00 1389.5823 1389.58
1583375.480001 5095047.119999              CB82-08 49.00 1386.6592 1386.66
1583357.640002 5095063.159999              CB82-08 50.00 1385.9808 1385.98
1583339.799999 5095079.200001              CB82-08 51.00 1384.9283 1384.93
1583321.960002 5095095.239998              CB82-08 52.00 1383.3773 1383.38
1583304.119999 5095111.280000              CB82-08 53.00 1383.3497 1383.35
1583286.280003 5095127.319997              CB82-08 54.00 1384.0227 1384.02
1583268.439994 5095143.360006              CB82-08 55.00 1383.6908 1383.69
1583250.599997 5095159.400002              CB82-08 56.00 1382.2529 1382.25
1583232.760001 5095175.439999              CB82-08 57.00 1382.1849 1382.18
1583214.920005 5095191.479996              CB82-08 58.00 1381.5726 1381.57
1583197.080009 5095207.519992              CB82-08 59.00 1380.8806 1380.88
1583179.239999 5095223.560001              CB82-08 60.00 1379.7244 1379.72
1583161.399989 5095239.600010              CB82-08 61.00 1378.8088 1378.81
1583143.560006 5095255.639994              CB82-08 62.00 1378.2307 1378.23
1583125.719997 5095271.680003              CB82-08 63.00 1377.8208 1377.82
1583107.879987 5095287.720011              CB82-08 64.00 1377.5529 1377.55
1583090.040004 5095303.759996              CB82-08 65.00 1377.3199 1377.32
1583072.199995 5095319.800005              CB82-08 66.00 1377.3896 1377.39
1583036.520002 5095351.879998              CB82-08 68.00 1375.5928 1375.59
1583018.679993 5095367.920007              CB82-08 69.00 1375.0856 1375.09
1583000.840010 5095383.959991              CB82-08 70.00 1374.1089 1374.11
1582983.000000 5095400.000000              CB82-08 71.00 1373.3989 1373.4
1582964.833333 5095417.750001              CB82-08 72.00 1372.9158 1372.92
1582946.666666 5095435.500001              CB82-08 73.00 1373.3435 1373.34
1582928.500000 5095453.250000              CB82-08 74.00 1371.0807 1371.08
1582910.333331 5095471.000002              CB82-08 75.00 1370.8745 1370.87
1582892.166669 5095488.749998              CB82-08 76.00 1370.5406 1370.54
1582874.000000 5095506.500000              CB82-08 77.00 1370.6815 1370.68
1582855.833338 5095524.249996              CB82-08 78.00 1370.4692 1370.47
1582837.666662 5095542.000004              CB82-08 79.00 1369.2736 1369.27
1582819.500000 5095559.750000              CB82-08 80.00 1368.0048 1368
1582801.333338 5095577.499996              CB82-08 81.00 1366.7330 1366.73
1582783.166662 5095595.250004              CB82-08 82.00 1366.2821 1366.28
1582765.000000 5095613.000000              CB82-08 83.00 1365.9792 1365.98
1582747.277778 5095630.055556              CB82-08 84.00 1364.3004 1364.3
1582729.555555 5095647.111111              CB82-08 85.00 1363.8667 1363.87
1582711.833332 5095664.166668              CB82-08 86.00 1363.3685 1363.37
1582694.111111 5095681.222223              CB82-08 87.00 1363.9906 1363.99
1582676.388885 5095698.277782              CB82-08 88.00 1364.0450 1364.05
1582658.666663 5095715.333336              CB82-08 89.00 1365.8972 1365.9
1582640.944442 5095732.388891              CB82-08 90.00 1367.8328 1367.83
1582623.222221 5095749.444445              CB82-08 91.00 1369.5250 1369.53
1582605.500000 5095766.500000              CB82-08 92.00 1367.7178 1367.72
1582587.777769 5095783.555564              CB82-08 93.00 1366.8317 1366.83
1582570.055558 5095800.611109              CB82-08 94.00 1365.8427 1365.84
