1572300.999999 5105715.000001              CB82-08 666.00 1677.0093 1677.01
1572283.000000 5105732.500000              CB82-08 667.00 1679.9817 1679.98
1572264.999996 5105750.000004              CB82-08 668.00 1689.8208 1689.82
1572247.000002 5105767.499998              CB82-08 669.00 1696.8933 1696.89
1572228.999998 5105785.000002              CB82-08 670.00 1699.1384 1699.14
1572211.000004 5105802.499996              CB82-08 671.00 1702.9501 1702.95
1572193.000000 5105820.000000              CB82-08 672.00 1712.3729 1712.37
1572175.300000 5105837.900000              CB82-08 673.00 1717.9564 1717.96
1572157.599999 5105855.800001              CB82-08 674.00 1726.9147 1726.91
1572139.899998 5105873.700002              CB82-08 675.00 1733.2369 1733.24
1572122.199999 5105891.600001              CB82-08 676.00 1733.2739 1733.27
1572104.500000 5105909.500000              CB82-08 677.00 1739.1439 1739.14
1572086.799996 5105927.400004              CB82-08 678.00 1745.0664 1745.07
1572069.100002 5105945.299998              CB82-08 679.00 1750.0195 1750.02
1572051.399998 5105963.200002              CB82-08 680.00 1754.3823 1754.38
1572033.700004 5105981.099996              CB82-08 681.00 1758.5280 1758.53
1572016.000000 5105999.000000              CB82-08 682.00 1768.2924 1768.29
1571999.000000 5106015.750000              CB82-08 683.00 1781.8815 1781.88
1571982.000000 5106032.500000              CB82-08 684.00 1795.3944 1795.39
1571965.000000 5106049.250000              CB82-08 685.00 1801.2280 1801.23
1571948.000000 5106066.000000              CB82-08 686.00 1820.9166 1820.92
1571930.300000 5106083.500000              CB82-08 687.00 1831.2706 1831.27
1571912.599999 5106101.000001              CB82-08 688.00 1841.7106 1841.71
1571894.899998 5106118.500002              CB82-08 689.00 1843.7964 1843.8
1571877.199999 5106136.000001              CB82-08 690.00 1846.8376 1846.84
1571859.500000 5106153.500000              CB82-08 691.00 1852.1785 1852.18
1571841.799996 5106171.000004              CB82-08 692.00 1865.8564 1865.86
1571824.100002 5106188.499998              CB82-08 693.00 1881.8472 1881.85
1571806.399998 5106206.000002              CB82-08 694.00 1882.8909 1882.89
1571788.700004 5106223.499996              CB82-08 695.00 1886.6399 1886.64
1571771.000000 5106241.000000              CB82-08 696.00 1888.6171 1888.62
1571752.945946 5106258.351352              CB82-08 697.00 1896.8812 1896.88
1571734.891891 5106275.702704              CB82-08 698.00 1918.0791 1918.08
1571716.837840 5106293.054052              CB82-08 699.00 1921.1573 1921.16
1571698.783782 5106310.405407              CB82-08 700.00 1918.5636 1918.56
1571680.729734 5106327.756753              CB82-08 701.00 1916.1472 1916.15
1571662.675681 5106345.108103              CB82-08 702.00 1913.6958 1913.7
1571644.621617 5106362.459464              CB82-08 703.00 1912.5533 1912.55
1571626.567564 5106379.810814              CB82-08 704.00 1910.9443 1910.94
1571608.513511 5106397.162165              CB82-08 705.00 1909.3187 1909.32
1571590.459468 5106414.513506              CB82-08 706.00 1908.4352 1908.44
1571572.405404 5106431.864866              CB82-08 707.00 1907.2559 1907.26
1571554.351361 5106449.216207              CB82-08 708.00 1907.2750 1907.28
1571536.297298 5106466.567567              CB82-08 709.00 1908.4221 1908.42
1571518.243235 5106483.918927              CB82-08 710.00 1909.4780 1909.48
1571500.189191 5106501.270268              CB82-08 711.00 1910.1522 1910.15
1571482.135128 5106518.621628              CB82-08 712.00 1910.8026 1910.8
1571464.081085 5106535.972969              CB82-08 713.00 1911.4537 1911.45
1571446.027022 5106553.324329              CB82-08 714.00 1912.1696 1912.17
1571427.972978 5106570.675671              CB82-08 715.00 1913.7457 1913.75
1571409.918935 5106588.027012              CB82-08 716.00 1915.0056 1915.01
1571391.864852 5106605.378391              CB82-08 717.00 1915.6715 1915.67
1571373.810809 5106622.729732              CB82-08 718.00 1916.5658 1916.57
1571355.756765 5106640.081073              CB82-08 719.00 1918.3301 1918.33
1571337.702722 5106657.432414              CB82-08 720.00 1918.7081 1918.71
1571319.648639 5106674.783793              CB82-08 721.00 1915.1073 1915.11
1571301.594596 5106692.135134              CB82-08 722.00 1912.1104 1912.11
1571283.540552 5106709.486475              CB82-08 723.00 1911.9417 1911.94
1571265.486469 5106726.837854              CB82-08 724.00 1912.5736 1912.57
1571247.432426 5106744.189195              CB82-08 725.00 1912.5966 1912.6
1571229.378383 5106761.540536              CB82-08 726.00 1910.6715 1910.67
1571211.324339 5106778.891877              CB82-08 727.00 1908.8909 1908.89
1571193.270256 5106796.243257              CB82-08 728.00 1907.7365 1907.74
1571175.216213 5106813.594598              CB82-08 729.00 1907.4950 1907.49
1571157.162170 5106830.945939              CB82-08 730.00 1907.7009 1907.7
1571139.108126 5106848.297280              CB82-08 731.00 1908.0616 1908.06
1571121.054043 5106865.648659              CB82-08 732.00 1908.7111 1908.71
1571103.000000 5106883.000000              CB82-08 733.00 1909.6621 1909.66
1571084.583333 5106899.833334              CB82-08 734.00 1910.7556 1910.76
1571066.166666 5106916.666668              CB82-08 735.00 1911.3286 1911.33
1571047.750000 5106933.500000              CB82-08 736.00 1912.0549 1912.05
1571029.333331 5106950.333335              CB82-08 737.00 1912.6808 1912.68
1571010.916669 5106967.166665              CB82-08 738.00 1912.1770 1912.18
1570992.500000 5106984.000000              CB82-08 739.00 1911.7661 1911.77
1570974.083338 5107000.833329              CB82-08 740.00 1911.8851 1911.89
1570955.666662 5107017.666671              CB82-08 741.00 1912.2468 1912.25
1570937.250000 5107034.500000              CB82-08 742.00 1912.2505 1912.25
1570918.833338 5107051.333329              CB82-08 743.00 1912.4131 1912.41
1570900.416662 5107068.166671              CB82-08 744.00 1912.0182 1912.02
1570882.000000 5107085.000000              CB82-08 745.00 1910.7993 1910.8
1570863.749999 5107102.035715              CB82-08 746.00 1909.7024 1909.7
1570845.499998 5107119.071430              CB82-08 747.00 1908.5420 1908.54
1570827.249999 5107136.107143              CB82-08 748.00 1907.5083 1907.51
1570808.999997 5107153.142860              CB82-08 749.00 1906.9583 1906.96
1570790.749998 5107170.178573              CB82-08 750.00 1906.4839 1906.48
1570772.499999 5107187.214287              CB82-08 751.00 1905.9359 1905.94
1570754.250000 5107204.250000              CB82-08 752.00 1905.3031 1905.3
1570735.999993 5107221.285720              CB82-08 753.00 1906.0905 1906.09
1570717.750002 5107238.321427              CB82-08 754.00 1907.7847 1907.78
1570699.499996 5107255.357147              CB82-08 755.00 1909.2091 1909.21
1570681.250004 5107272.392853              CB82-08 756.00 1908.3890 1908.39
1570662.999998 5107289.428573              CB82-08 757.00 1906.4639 1906.46
1570644.750007 5107306.464280              CB82-08 758.00 1905.3947 1905.39
1570626.500000 5107323.500000              CB82-08 759.00 1904.9427 1904.94
1570608.250009 5107340.535706              CB82-08 760.00 1904.4861 1904.49
1570589.999987 5107357.571441              CB82-08 761.00 1904.4778 1904.48
1570571.749996 5107374.607147              CB82-08 762.00 1904.5756 1904.58
1570553.500004 5107391.642853              CB82-08 763.00 1906.8912 1906.89
1570535.250013 5107408.678559              CB82-08 764.00 1904.8409 1904.84
1570516.999991 5107425.714294              CB82-08 765.00 1901.8132 1901.81
1570498.750000 5107442.750000              CB82-08 766.00 1900.4454 1900.45
1570480.500009 5107459.785706              CB82-08 767.00 1899.0719 1899.07
1570462.249987 5107476.821441              CB82-08 768.00 1897.6913 1897.69
1570443.999996 5107493.857147              CB82-08 769.00 1896.5132 1896.51
1570425.750004 5107510.892853              CB82-08 770.00 1895.7056 1895.71
1570407.500013 5107527.928559              CB82-08 771.00 1894.9158 1894.92
1570389.249991 5107544.964294              CB82-08 772.00 1894.1754 1894.18
1570371.000000 5107562.000000              CB82-08 773.00 1893.8844 1893.88
1570352.500000 5107579.500000              CB82-08 774.00 1893.6630 1893.66
1570334.000000 5107597.000000              CB82-08 775.00 1893.4158 1893.42
1570315.500000 5107614.500000              CB82-08 776.00 1891.5508 1891.55
1570297.000000 5107632.000000              CB82-08 777.00 1889.6964 1889.7
1570279.142856 5107649.142858              CB82-08 778.00 1887.8619 1887.86
1570261.285713 5107666.285716              CB82-08 779.00 1886.0007 1886
1570243.428571 5107683.428572              CB82-08 780.00 1884.1497 1884.15
1570225.571425 5107700.571432              CB82-08 781.00 1882.3090 1882.31
1570207.714284 5107717.714288              CB82-08 782.00 1879.0349 1879.03
1570189.857142 5107734.857144              CB82-08 783.00 1876.4775 1876.48
1570172.000000 5107752.000000              CB82-08 784.00 1874.1107 1874.11
1570154.315789 5107769.473684              CB82-08 785.00 1871.7035 1871.7
1570136.631579 5107786.947369              CB82-08 786.00 1868.8490 1868.85
1570118.947371 5107804.421051              CB82-08 787.00 1865.9746 1865.97
1570101.263157 5107821.894737              CB82-08 788.00 1865.9669 1865.97
1570083.578944 5107839.368424              CB82-08 789.00 1867.1377 1867.14
1570065.894741 5107856.842101              CB82-08 790.00 1868.3416 1868.34
1570048.210528 5107874.315788              CB82-08 791.00 1869.5042 1869.5
1570030.526315 5107891.789475              CB82-08 792.00 1867.5900 1867.59
1570012.842102 5107909.263162              CB82-08 793.00 1865.6718 1865.67
1569995.157888 5107926.736848              CB82-08 794.00 1856.3215 1856.32
1569977.473685 5107944.210525              CB82-08 795.00 1847.3119 1847.31
1569959.789482 5107961.684202              CB82-08 796.00 1839.3712 1839.37
1569942.105259 5107979.157899              CB82-08 797.00 1832.7797 1832.78
1569924.421056 5107996.631576              CB82-08 798.00 1828.5773 1828.58
1569906.736833 5108014.105273              CB82-08 799.00 1825.6030 1825.6
1569889.052629 5108031.578949              CB82-08 800.00 1823.2487 1823.25
1569871.368426 5108049.052626              CB82-08 801.00 1822.8455 1822.85
1569853.684203 5108066.526323              CB82-08 802.00 1822.7523 1822.75
1569836.000000 5108084.000000              CB82-08 803.00 1797.7443 1797.74
1569818.499999 5108101.666667              CB82-08 804.00 1794.9491 1794.95
1569800.999999 5108119.333334              CB82-08 805.00 1793.5227 1793.52
1569783.500000 5108137.000000              CB82-08 806.00 1793.0873 1793.09
1569765.999998 5108154.666669              CB82-08 807.00 1787.6333 1787.63
1569748.500002 5108172.333331              CB82-08 808.00 1779.1748 1779.17
1569731.000000 5108190.000000              CB82-08 809.00 1778.3403 1778.34
1569713.500004 5108207.666662              CB82-08 810.00 1779.0703 1779.07
1569695.999996 5108225.333338              CB82-08 811.00 1780.4905 1780.49
1569678.500000 5108243.000000              CB82-08 812.00 1781.9124 1781.91
1569661.000004 5108260.666662              CB82-08 813.00 1783.1688 1783.17
1569643.499996 5108278.333338              CB82-08 814.00 1784.8655 1784.87
1569626.000000 5108296.000000              CB82-08 815.00 1786.8101 1786.81
1569608.785714 5108313.285715              CB82-08 816.00 1788.7610 1788.76
1569591.571427 5108330.571430              CB82-08 817.00 1790.2213 1790.22
1569574.357142 5108347.857143              CB82-08 818.00 1790.3408 1790.34
1569557.142854 5108365.142860              CB82-08 819.00 1791.0747 1791.07
1569539.928569 5108382.428573              CB82-08 820.00 1791.2078 1791.21
1569522.714285 5108399.714287              CB82-08 821.00 1791.6942 1791.69
1569505.500000 5108417.000000              CB82-08 822.00 1792.3850 1792.39
1569488.285708 5108434.285720              CB82-08 823.00 1793.0527 1793.05
1569471.071431 5108451.571427              CB82-08 824.00 1793.8262 1793.83
1569453.857139 5108468.857147              CB82-08 825.00 1794.6953 1794.7
1569436.642861 5108486.142853              CB82-08 826.00 1795.7704 1795.77
1569419.428569 5108503.428573              CB82-08 827.00 1796.8662 1796.87
1569402.214292 5108520.714280              CB82-08 828.00 1798.5415 1798.54
1569385.000000 5108538.000000              CB82-08 829.00 1800.4707 1800.47
1569367.125000 5108555.687500              CB82-08 830.00 1802.6715 1802.67
1569349.250000 5108573.375000              CB82-08 831.00 1804.8936 1804.89
1569331.375000 5108591.062500              CB82-08 832.00 1807.8146 1807.81
1569313.500000 5108608.750000              CB82-08 833.00 1810.1803 1810.18
1569295.625000 5108626.437500              CB82-08 834.00 1812.5400 1812.54
1569277.750000 5108644.125000              CB82-08 835.00 1813.2057 1813.21
1569259.875000 5108661.812500              CB82-08 836.00 1813.8080 1813.81
