1572016.000000 5105999.000000              CB82-08 682.00 1.6654 1.33086
1571999.000000 5106015.750000              CB82-08 683.00 1.6696 4.10564
1571982.000000 5106032.500000              CB82-08 684.00 1.6712 6.74149
1571948.000000 5106066.000000              CB82-08 686.00 1.6917 2.09607
1571930.300000 5106083.500000              CB82-08 687.00 1.6958 1.71575
1571912.599999 5106101.000001              CB82-08 688.00 1.6999 -2.36813
1571894.899998 5106118.500002              CB82-08 689.00 1.7040 -1.68519
1571877.199999 5106136.000001              CB82-08 690.00 1.7111 4.4221
1571859.500000 5106153.500000              CB82-08 691.00 1.7150 7.55015
1571841.799996 5106171.000004              CB82-08 692.00 1.7230 4.87149
1571824.100002 5106188.499998              CB82-08 693.00 1.7266 5.10284
1571806.399998 5106206.000002              CB82-08 694.00 1.7302 10.2502
1571788.700004 5106223.499996              CB82-08 695.00 1.7338 14.3018
1571771.000000 5106241.000000              CB82-08 696.00 1.7344 14.1134
1571752.945946 5106258.351352              CB82-08 697.00 1.7365 10.6322
1571734.891891 5106275.702704              CB82-08 698.00 1.7420 7.41658
1571716.837840 5106293.054052              CB82-08 699.00 1.7492 4.48407
1571698.783782 5106310.405407              CB82-08 700.00 1.7512 2.81707
1571680.729734 5106327.756753              CB82-08 701.00 1.7531 4.19625
1571662.675681 5106345.108103              CB82-08 702.00 1.7551 6.96441
1571644.621617 5106362.459464              CB82-08 703.00 1.7570 8.11168
1571626.567564 5106379.810814              CB82-08 704.00 1.7563 8.95604
1571608.513511 5106397.162165              CB82-08 705.00 1.7549 10.7548
1571590.459468 5106414.513506              CB82-08 706.00 1.7542 12.8246
1571572.405404 5106431.864866              CB82-08 707.00 1.7541 12.6747
1571554.351361 5106449.216207              CB82-08 708.00 1.7543 12.0506
1571536.297298 5106466.567567              CB82-08 709.00 1.7547 12.9742
1571518.243235 5106483.918927              CB82-08 710.00 1.7548 15.3022
1571500.189191 5106501.270268              CB82-08 711.00 1.7544 18.6449
1571482.135128 5106518.621628              CB82-08 712.00 1.7538 22.3389
1571464.081085 5106535.972969              CB82-08 713.00 1.7537 25.8869
1571446.027022 5106553.324329              CB82-08 714.00 1.7539 28.7046
1571427.972978 5106570.675671              CB82-08 715.00 1.7546 28.9378
1571409.918935 5106588.027012              CB82-08 716.00 1.7553 26.977
1571391.864852 5106605.378391              CB82-08 717.00 1.7560 23.0783
1571373.810809 5106622.729732              CB82-08 718.00 1.7566 21.0509
1571355.756765 5106640.081073              CB82-08 719.00 1.7573 19.8697
1571337.702722 5106657.432414              CB82-08 720.00 1.7580 17.8938
1571319.648639 5106674.783793              CB82-08 721.00 1.7589 13.5221
1571301.594596 5106692.135134              CB82-08 722.00 1.7586 9.34375
