1583731.222204 5094735.688905              CB82-08 29.00 1.4903 0
1583713.444427 5094751.177793              CB82-08 30.00 1.4912 0
1583695.666651 5094766.666681              CB82-08 31.00 1.4918 0
1583677.888874 5094782.155568              CB82-08 32.00 1.4920 0
1583660.111097 5094797.644456              CB82-08 33.00 1.4917 0
1583642.333321 5094813.133344              CB82-08 34.00 1.4913 0
1583624.555544 5094828.622232              CB82-08 35.00 1.4909 0
1583606.777767 5094844.111120              CB82-08 36.00 1.4903 0
1583588.999990 5094859.600008              CB82-08 37.00 1.4898 0
1583571.222214 5094875.088896              CB82-08 38.00 1.4894 0
1583553.444437 5094890.577784              CB82-08 39.00 1.4891 0
1583535.666660 5094906.066672              CB82-08 40.00 1.4889 0
1583517.888884 5094921.555560              CB82-08 41.00 1.4885 0
1583500.111107 5094937.044448              CB82-08 42.00 1.4882 0
1583482.333330 5094952.533336              CB82-08 43.00 1.4879 0
1583464.555553 5094968.022224              CB82-08 44.00 1.4876 0
1583446.777777 5094983.511112              CB82-08 45.00 1.4875 0
1583429.000000 5094999.000000              CB82-08 46.00 1.4876 0
1583411.160000 5095015.040000              CB82-08 47.00 1.4879 0
1583393.320001 5095031.079999              CB82-08 48.00 1.4879 0
1583375.480001 5095047.119999              CB82-08 49.00 1.4875 0
1583357.640002 5095063.159999              CB82-08 50.00 1.4870 0
1583339.799999 5095079.200001              CB82-08 51.00 1.4867 0
1583321.960002 5095095.239998              CB82-08 52.00 1.4863 0
1583304.119999 5095111.280000              CB82-08 53.00 1.4858 0
1583286.280003 5095127.319997              CB82-08 54.00 1.4853 0
1583268.439994 5095143.360006              CB82-08 55.00 1.4852 0
1583250.599997 5095159.400002              CB82-08 56.00 1.4853 0
1583232.760001 5095175.439999              CB82-08 57.00 1.4854 0
1583214.920005 5095191.479996              CB82-08 58.00 1.4858 0
1583197.080009 5095207.519992              CB82-08 59.00 1.4862 0
1583179.239999 5095223.560001              CB82-08 60.00 1.4864 0
1583161.399989 5095239.600010              CB82-08 61.00 1.4862 0
1583143.560006 5095255.639994              CB82-08 62.00 1.4860 0
1583125.719997 5095271.680003              CB82-08 63.00 1.4857 0
1583107.879987 5095287.720011              CB82-08 64.00 1.4855 0
1583090.040004 5095303.759996              CB82-08 65.00 1.4853 0
1583072.199995 5095319.800005              CB82-08 66.00 1.4850 0
1583054.360012 5095335.839989              CB82-08 67.00 1.4846 0
1583036.520002 5095351.879998              CB82-08 68.00 1.4841 0
1583018.679993 5095367.920007              CB82-08 69.00 1.4836 0
1583000.840010 5095383.959991              CB82-08 70.00 1.4836 0
1582983.000000 5095400.000000              CB82-08 71.00 1.4836 0
1582964.833333 5095417.750001              CB82-08 72.00 1.4839 0
1582946.666666 5095435.500001              CB82-08 73.00 1.4841 0
1582928.500000 5095453.250000              CB82-08 74.00 1.4839 0
1582910.333331 5095471.000002              CB82-08 75.00 1.4836 0
1582892.166669 5095488.749998              CB82-08 76.00 1.4833 0
1582874.000000 5095506.500000              CB82-08 77.00 1.4830 0
1582855.833338 5095524.249996              CB82-08 78.00 1.4828 0
1582837.666662 5095542.000004              CB82-08 79.00 1.4824 0
1582819.500000 5095559.750000              CB82-08 80.00 1.4819 0
1582801.333338 5095577.499996              CB82-08 81.00 1.4814 0
1582783.166662 5095595.250004              CB82-08 82.00 1.4811 0
1582765.000000 5095613.000000              CB82-08 83.00 1.4809 0
1582747.277778 5095630.055556              CB82-08 84.00 1.4808 0
1582729.555555 5095647.111111              CB82-08 85.00 1.4808 0
1582711.833332 5095664.166668              CB82-08 86.00 1.4810 0
1582694.111111 5095681.222223              CB82-08 87.00 1.4810 0
1582676.388885 5095698.277782              CB82-08 88.00 1.4808 0
1582658.666663 5095715.333336              CB82-08 89.00 1.4808 0
1582640.944442 5095732.388891              CB82-08 90.00 1.4806 0
1582623.222221 5095749.444445              CB82-08 91.00 1.4803 0
1582605.500000 5095766.500000              CB82-08 92.00 1.4802 0
1582587.777769 5095783.555564              CB82-08 93.00 1.4802 0
1582570.055558 5095800.611109              CB82-08 94.00 1.4799 0
1582552.333327 5095817.666673              CB82-08 95.00 1.4797 0
1582534.611115 5095834.722218              CB82-08 96.00 1.4798 0
1582516.888885 5095851.777782              CB82-08 97.00 1.4801 0
1582499.166673 5095868.833327              CB82-08 98.00 1.4801 0
1582481.444442 5095885.888891              CB82-08 99.00 1.4802 0
1582463.722231 5095902.944436              CB82-08 100.00 1.4800 0
1582446.000000 5095920.000000              CB82-08 101.00 1.4797 0
1582428.063063 5095937.414415              CB82-08 102.00 1.4794 0
1582410.126125 5095954.828830              CB82-08 103.00 1.4789 0
1582392.189188 5095972.243245              CB82-08 104.00 1.4787 0
1582374.252251 5095989.657659              CB82-08 105.00 1.4784 0
1582356.315317 5096007.072071              CB82-08 106.00 1.4784 0
1582338.378376 5096024.486489              CB82-08 107.00 1.4784 0
1582320.441442 5096041.900900              CB82-08 108.00 1.4783 0
1582302.504501 5096059.315319              CB82-08 109.00 1.4781 0
1582284.567575 5096076.729723              CB82-08 110.00 1.4780 0
1582266.630634 5096094.144141              CB82-08 111.00 1.4781 0
1582248.693693 5096111.558560              CB82-08 112.00 1.4781 0
1582230.756752 5096128.972978              CB82-08 113.00 1.4782 0
1582212.819825 5096146.387382              CB82-08 114.00 1.4782 0
1582194.882884 5096163.801801              CB82-08 115.00 1.4779 0
1582176.945958 5096181.216205              CB82-08 116.00 1.4776 0
1582159.009002 5096198.630637              CB82-08 117.00 1.4773 0
1582141.072076 5096216.045041              CB82-08 118.00 1.4769 0
1582123.135150 5096233.459445              CB82-08 119.00 1.4764 0
1582105.198194 5096250.873878              CB82-08 120.00 1.4766 0
1582087.261267 5096268.288282              CB82-08 121.00 1.4773 0
1582069.324311 5096285.702715              CB82-08 122.00 1.4779 0
1582051.387385 5096303.117119              CB82-08 123.00 1.4777 0
1582033.450459 5096320.531523              CB82-08 124.00 1.4773 0
1582015.513503 5096337.945956              CB82-08 125.00 1.4771 0
1581997.576577 5096355.360360              CB82-08 126.00 1.4770 0
1581979.639651 5096372.774764              CB82-08 127.00 1.4768 0
1581961.702695 5096390.189197              CB82-08 128.00 1.4764 0
1581943.765768 5096407.603601              CB82-08 129.00 1.4757 0
1581925.828842 5096425.018005              CB82-08 130.00 1.4749 0
1581907.891916 5096442.432409              CB82-08 131.00 1.4745 0
1581889.954930 5096459.846871              CB82-08 132.00 1.4744 0
1581872.018004 5096477.261275              CB82-08 133.00 1.4741 0
1581854.081078 5096494.675679              CB82-08 134.00 1.4738 0
1581836.144152 5096512.090083              CB82-08 135.00 1.4734 0
1581818.207225 5096529.504487              CB82-08 136.00 1.4726 0
1581800.270299 5096546.918891              CB82-08 137.00 1.4719 0
1581782.333314 5096564.333353              CB82-08 138.00 1.4715 0
1581764.396387 5096581.747757              CB82-08 139.00 1.4712 0
1581746.459461 5096599.162161              CB82-08 140.00 1.4707 0
1581728.522535 5096616.576565              CB82-08 141.00 1.4705 0
1581710.585609 5096633.990969              CB82-08 142.00 1.4704 0
1581692.648623 5096651.405430              CB82-08 143.00 1.4705 0
1581674.711697 5096668.819834              CB82-08 144.00 1.4706 0
1581656.774770 5096686.234238              CB82-08 145.00 1.4711 0
1581638.837844 5096703.648642              CB82-08 146.00 1.4713 0
1581620.900918 5096721.063046              CB82-08 147.00 1.4714 0
1581602.963992 5096738.477450              CB82-08 148.00 1.4712 0
1581585.027006 5096755.891912              CB82-08 149.00 1.4707 0
1581567.090080 5096773.306316              CB82-08 150.00 1.4699 0
1581549.153154 5096790.720720              CB82-08 151.00 1.4695 0
1581531.216227 5096808.135124              CB82-08 152.00 1.4697 0
1581513.279301 5096825.549528              CB82-08 153.00 1.4696 0
1581495.342316 5096842.963990              CB82-08 154.00 1.4693 0
