1583873.444442 5094611.777780              CB82-08 21.00 1.7199 0
1583855.666665 5094627.266668              CB82-08 22.00 1.7191 0
1583837.888888 5094642.755556              CB82-08 23.00 1.7184 0.624356
1583820.111088 5094658.244465              CB82-08 24.00 1.7176 0.138078
1583802.333311 5094673.733353              CB82-08 25.00 1.7168 -0.517417
1583784.555534 5094689.222241              CB82-08 26.00 1.7161 -0.935254
1583766.777758 5094704.711129              CB82-08 27.00 1.7153 -0.627731
1583748.999981 5094720.200017              CB82-08 28.00 1.7145 0.221227
1583731.222204 5094735.688905              CB82-08 29.00 1.7138 0.939567
1583713.444427 5094751.177793              CB82-08 30.00 1.7130 1.14533
1583695.666651 5094766.666681              CB82-08 31.00 1.7123 0.940457
1583677.888874 5094782.155568              CB82-08 32.00 1.7116 0.806242
1583660.111097 5094797.644456              CB82-08 33.00 1.7109 0.951352
1583642.333321 5094813.133344              CB82-08 34.00 1.7102 1.01736
1583624.555544 5094828.622232              CB82-08 35.00 1.7095 0.929232
1583606.777767 5094844.111120              CB82-08 36.00 1.7089 0.707007
1583588.999990 5094859.600008              CB82-08 37.00 1.7081 0.57781
1583571.222214 5094875.088896              CB82-08 38.00 1.7075 0.477395
1583553.444437 5094890.577784              CB82-08 39.00 1.7068 0.431739
1583535.666660 5094906.066672              CB82-08 40.00 1.7061 0.339846
1583517.888884 5094921.555560              CB82-08 41.00 1.7054 -0.0458197
1583500.111107 5094937.044448              CB82-08 42.00 1.7047 -0.696977
1583482.333330 5094952.533336              CB82-08 43.00 1.7042 -1.59608
1583464.555553 5094968.022224              CB82-08 44.00 1.7038 -2.46735
1583446.777777 5094983.511112              CB82-08 45.00 1.7033 -3.10907
1583429.000000 5094999.000000              CB82-08 46.00 1.7005 -1.79824
1583411.160000 5095015.040000              CB82-08 47.00 1.7000 -1.05158
1583393.320001 5095031.079999              CB82-08 48.00 1.6995 0.185501
1583375.480001 5095047.119999              CB82-08 49.00 1.6990 1.18266
1583357.640002 5095063.159999              CB82-08 50.00 1.6985 1.47849
1583339.799999 5095079.200001              CB82-08 51.00 1.6980 0.999218
1583321.960002 5095095.239998              CB82-08 52.00 1.6975 -0.178198
1583304.119999 5095111.280000              CB82-08 53.00 1.6969 -1.12427
1583286.280003 5095127.319997              CB82-08 54.00 1.6964 -1.45509
1583268.439994 5095143.360006              CB82-08 55.00 1.6959 -1.67084
1583250.599997 5095159.400002              CB82-08 56.00 1.6954 -1.39797
1583232.760001 5095175.439999              CB82-08 57.00 1.6949 -1.05823
1583214.920005 5095191.479996              CB82-08 58.00 1.6951 -1.53713
1583197.080009 5095207.519992              CB82-08 59.00 1.6948 -1.47311
1583179.239999 5095223.560001              CB82-08 60.00 1.6945 -1.35616
1583161.399989 5095239.600010              CB82-08 61.00 1.6941 -0.959957
1583143.560006 5095255.639994              CB82-08 62.00 1.6938 -0.894995
1583125.719997 5095271.680003              CB82-08 63.00 1.6935 -0.932063
1583107.879987 5095287.720011              CB82-08 64.00 1.6932 -1.09098
1583090.040004 5095303.759996              CB82-08 65.00 1.6928 -1.07698
1583072.199995 5095319.800005              CB82-08 66.00 1.6925 -1.4962
1583054.360012 5095335.839989              CB82-08 67.00 1.6922 -1.83452
1583036.520002 5095351.879998              CB82-08 68.00 1.6918 -1.80201
1583018.679993 5095367.920007              CB82-08 69.00 1.6915 -1.31673
1583000.840010 5095383.959991              CB82-08 70.00 1.6911 -0.941106
1582983.000000 5095400.000000              CB82-08 71.00 1.6908 -0.797724
1582964.833333 5095417.750001              CB82-08 72.00 1.6905 -1.01306
1582946.666666 5095435.500001              CB82-08 73.00 1.6901 -1.05901
1582928.500000 5095453.250000              CB82-08 74.00 1.6898 -1.00562
