1583304.119999 5095111.280000              CB82-08 53.00 0.1396 3.9133
1583286.280003 5095127.319997              CB82-08 54.00 0.1425 7.01249
1583268.439994 5095143.360006              CB82-08 55.00 0.1435 8.4425
1583250.599997 5095159.400002              CB82-08 56.00 0.1431 9.10926
1583232.760001 5095175.439999              CB82-08 57.00 0.1439 9.73235
1583214.920005 5095191.479996              CB82-08 58.00 0.1439 9.99178
1583197.080009 5095207.519992              CB82-08 59.00 0.1444 10.9206
1583179.239999 5095223.560001              CB82-08 60.00 0.1446 11.84
1583161.399989 5095239.600010              CB82-08 61.00 0.1445 11.9473
1583143.560006 5095255.639994              CB82-08 62.00 0.1444 12.5876
1583125.719997 5095271.680003              CB82-08 63.00 0.1442 12.5288
1583107.879987 5095287.720011              CB82-08 64.00 0.1442 12.7662
1583090.040004 5095303.759996              CB82-08 65.00 0.1440 12.1375
1583072.199995 5095319.800005              CB82-08 66.00 0.1436 12.2106
1583054.360012 5095335.839989              CB82-08 67.00 0.1436 11.7242
1583036.520002 5095351.879998              CB82-08 68.00 0.1435 10.7001
1583018.679993 5095367.920007              CB82-08 69.00 0.1433 11.0467
1583000.840010 5095383.959991              CB82-08 70.00 0.1430 11.4296
1582983.000000 5095400.000000              CB82-08 71.00 0.1425 11.1411
1582964.833333 5095417.750001              CB82-08 72.00 0.1424 11.75
1582946.666666 5095435.500001              CB82-08 73.00 0.1419 11.2101
1582928.500000 5095453.250000              CB82-08 74.00 0.1420 10.3476
1582910.333331 5095471.000002              CB82-08 75.00 0.1414 10.4382
1582892.166669 5095488.749998              CB82-08 76.00 0.1410 11.7757
1582874.000000 5095506.500000              CB82-08 77.00 0.1407 12.0906
1582855.833338 5095524.249996              CB82-08 78.00 0.1405 11.026
1582837.666662 5095542.000004              CB82-08 79.00 0.1402 12.2148
1582819.500000 5095559.750000              CB82-08 80.00 0.1402 10.391
1582801.333338 5095577.499996              CB82-08 81.00 0.1403 10.2813
1582783.166662 5095595.250004              CB82-08 82.00 0.1399 11.0875
1582765.000000 5095613.000000              CB82-08 83.00 0.1401 11.5247
1582747.277778 5095630.055556              CB82-08 84.00 0.1399 10.6157
1582729.555555 5095647.111111              CB82-08 85.00 0.1397 10.8203
1582711.833332 5095664.166668              CB82-08 86.00 0.1393 10.657
1582694.111111 5095681.222223              CB82-08 87.00 0.1386 10.2074
1582676.388885 5095698.277782              CB82-08 88.00 0.1382 11.1348
1582658.666663 5095715.333336              CB82-08 89.00 0.1383 10.3405
1582640.944442 5095732.388891              CB82-08 90.00 0.1379 11.313
1582623.222221 5095749.444445              CB82-08 91.00 0.1379 11.0549
1582605.500000 5095766.500000              CB82-08 92.00 0.1381 10.0685
1582587.777769 5095783.555564              CB82-08 93.00 0.1382 10.6015
1582570.055558 5095800.611109              CB82-08 94.00 0.1381 9.4006
1582552.333327 5095817.666673              CB82-08 95.00 0.1382 9.57153
1582534.611115 5095834.722218              CB82-08 96.00 0.1382 10.2047
1582516.888885 5095851.777782              CB82-08 97.00 0.1378 10.0996
1582499.166673 5095868.833327              CB82-08 98.00 0.1379 9.9559
1582481.444442 5095885.888891              CB82-08 99.00 0.1381 9.70407
1582463.722231 5095902.944436              CB82-08 100.00 0.1379 10.6173
1582446.000000 5095920.000000              CB82-08 101.00 0.1379 10.8353
1582428.063063 5095937.414415              CB82-08 102.00 0.1383 8.9207
1582410.126125 5095954.828830              CB82-08 103.00 0.1383 10.0496
1582392.189188 5095972.243245              CB82-08 104.00 0.1378 11.8702
1582374.252251 5095989.657659              CB82-08 105.00 0.1379 8.78758
1582356.315317 5096007.072071              CB82-08 106.00 0.1380 9.13103
1582338.378376 5096024.486489              CB82-08 107.00 0.1376 10.7672
1582320.441442 5096041.900900              CB82-08 108.00 0.1378 11.2678
1582302.504501 5096059.315319              CB82-08 109.00 0.1380 10.8492
1582284.567575 5096076.729723              CB82-08 110.00 0.1378 10.4767
1582266.630634 5096094.144141              CB82-08 111.00 0.1377 11.2383
1582248.693693 5096111.558560              CB82-08 112.00 0.1375 10.8165
1582230.756752 5096128.972978              CB82-08 113.00 0.1376 11.1312
1582212.819825 5096146.387382              CB82-08 114.00 0.1378 10.6515
1582194.882884 5096163.801801              CB82-08 115.00 0.1382 9.60996
1582176.945958 5096181.216205              CB82-08 116.00 0.1382 9.71601
1582159.009002 5096198.630637              CB82-08 117.00 0.1379 9.74218
1582141.072076 5096216.045041              CB82-08 118.00 0.1387 8.45585
1582123.135150 5096233.459445              CB82-08 119.00 0.1378 9.12055
1582105.198194 5096250.873878              CB82-08 120.00 0.1379 8.92011
1582087.261267 5096268.288282              CB82-08 121.00 0.1380 7.90346
1582069.324311 5096285.702715              CB82-08 122.00 0.1376 7.88924
1582051.387385 5096303.117119              CB82-08 123.00 0.1378 9.39822
1582033.450459 5096320.531523              CB82-08 124.00 0.1377 9.66518
1582015.513503 5096337.945956              CB82-08 125.00 0.1381 7.73573
1581997.576577 5096355.360360              CB82-08 126.00 0.1383 8.44648
