1583090.040004 5095303.759996              CB82-08 65.00 1.4106 0.6374
1583072.199995 5095319.800005              CB82-08 66.00 1.4103 0.646246
1583054.360012 5095335.839989              CB82-08 67.00 1.4084 0.718888
1583036.520002 5095351.879998              CB82-08 68.00 1.4088 1.02144
1583018.679993 5095367.920007              CB82-08 69.00 1.4088 0.765922
1583000.840010 5095383.959991              CB82-08 70.00 1.4084 0.438765
1582983.000000 5095400.000000              CB82-08 71.00 1.4078 0.346199
1582964.833333 5095417.750001              CB82-08 72.00 1.4082 0.739144
1582946.666666 5095435.500001              CB82-08 73.00 1.4080 0.769682
1582928.500000 5095453.250000              CB82-08 74.00 1.4070 1.38849
1582910.333331 5095471.000002              CB82-08 75.00 1.4070 1.61038
1582892.166669 5095488.749998              CB82-08 76.00 1.4060 1.33391
1582874.000000 5095506.500000              CB82-08 77.00 1.4053 1.346
1582855.833338 5095524.249996              CB82-08 78.00 1.4041 1.96546
1582837.666662 5095542.000004              CB82-08 79.00 1.4039 2.2526
1582819.500000 5095559.750000              CB82-08 80.00 1.4044 2.06612
1582801.333338 5095577.499996              CB82-08 81.00 1.4041 2.5376
1582783.166662 5095595.250004              CB82-08 82.00 1.4036 2.5776
1582765.000000 5095613.000000              CB82-08 83.00 1.4034 2.57798
1582747.277778 5095630.055556              CB82-08 84.00 1.4032 3.03848
1582729.555555 5095647.111111              CB82-08 85.00 1.4029 2.5582
1582711.833332 5095664.166668              CB82-08 86.00 1.4026 1.99422
1582694.111111 5095681.222223              CB82-08 87.00 1.4027 1.65313
1582676.388885 5095698.277782              CB82-08 88.00 1.4024 1.91918
1582658.666663 5095715.333336              CB82-08 89.00 1.4024 2.04004
1582640.944442 5095732.388891              CB82-08 90.00 1.4031 1.71774
1582623.222221 5095749.444445              CB82-08 91.00 1.4026 1.73283
1582605.500000 5095766.500000              CB82-08 92.00 1.4026 2.67447
1582587.777769 5095783.555564              CB82-08 93.00 1.4042 2.63256
1582570.055558 5095800.611109              CB82-08 94.00 1.4042 2.068
1582552.333327 5095817.666673              CB82-08 95.00 1.4036 2.04232
1582534.611115 5095834.722218              CB82-08 96.00 1.4033 2.13909
1582516.888885 5095851.777782              CB82-08 97.00 1.4028 2.41776
1582499.166673 5095868.833327              CB82-08 98.00 1.4031 2.26644
1582481.444442 5095885.888891              CB82-08 99.00 1.4032 1.87385
1582463.722231 5095902.944436              CB82-08 100.00 1.4031 1.97783
1582446.000000 5095920.000000              CB82-08 101.00 1.4030 1.91182
1582428.063063 5095937.414415              CB82-08 102.00 1.4030 2.18617
1582410.126125 5095954.828830              CB82-08 103.00 1.4022 1.47545
