1583535.666660 5094906.066672              CB82-08 40.00 1.0638 3.91862
1583517.888884 5094921.555560              CB82-08 41.00 1.0647 5.25006
1583500.111107 5094937.044448              CB82-08 42.00 1.0651 6.76609
1583482.333330 5094952.533336              CB82-08 43.00 1.0652 8.39522
1583464.555553 5094968.022224              CB82-08 44.00 1.0648 10.0021
1583446.777777 5094983.511112              CB82-08 45.00 1.0642 11.0943
1583429.000000 5094999.000000              CB82-08 46.00 1.0636 11.3912
1583411.160000 5095015.040000              CB82-08 47.00 1.0635 11.307
1583393.320001 5095031.079999              CB82-08 48.00 1.0632 11.3914
1583375.480001 5095047.119999              CB82-08 49.00 1.0631 11.2335
1583357.640002 5095063.159999              CB82-08 50.00 1.0625 11.0507
1583339.799999 5095079.200001              CB82-08 51.00 1.0617 11.1028
1583321.960002 5095095.239998              CB82-08 52.00 1.0613 11.5583
1583304.119999 5095111.280000              CB82-08 53.00 1.0612 11.7785
1583286.280003 5095127.319997              CB82-08 54.00 1.0607 11.6482
1583268.439994 5095143.360006              CB82-08 55.00 1.0600 12.4821
1583250.599997 5095159.400002              CB82-08 56.00 1.0597 12.7896
1583232.760001 5095175.439999              CB82-08 57.00 1.0592 12.7163
1583214.920005 5095191.479996              CB82-08 58.00 1.0586 12.582
1583197.080009 5095207.519992              CB82-08 59.00 1.0582 12.8038
1583179.239999 5095223.560001              CB82-08 60.00 1.0580 12.2809
1583161.399989 5095239.600010              CB82-08 61.00 1.0583 12.2798
1583143.560006 5095255.639994              CB82-08 62.00 1.0580 11.7732
1583125.719997 5095271.680003              CB82-08 63.00 1.0577 11.3979
1583107.879987 5095287.720011              CB82-08 64.00 1.0571 10.8585
1583090.040004 5095303.759996              CB82-08 65.00 1.0563 10.6885
1583072.199995 5095319.800005              CB82-08 66.00 1.0560 10.383
1583054.360012 5095335.839989              CB82-08 67.00 1.0557 10.2757
1583036.520002 5095351.879998              CB82-08 68.00 1.0553 9.97585
1583018.679993 5095367.920007              CB82-08 69.00 1.0549 10.1363
1583000.840010 5095383.959991              CB82-08 70.00 1.0544 9.62901
1582983.000000 5095400.000000              CB82-08 71.00 1.0536 9.57886
1582964.833333 5095417.750001              CB82-08 72.00 1.0532 9.57909
1582946.666666 5095435.500001              CB82-08 73.00 1.0531 9.55849
1582928.500000 5095453.250000              CB82-08 74.00 1.0526 9.457
1582910.333331 5095471.000002              CB82-08 75.00 1.0520 9.24217
1582892.166669 5095488.749998              CB82-08 76.00 1.0512 9.23897
1582874.000000 5095506.500000              CB82-08 77.00 1.0511 9.2272
1582855.833338 5095524.249996              CB82-08 78.00 1.0506 9.22138
1582837.666662 5095542.000004              CB82-08 79.00 1.0505 9.36578
1582819.500000 5095559.750000              CB82-08 80.00 1.0499 8.84674
1582801.333338 5095577.499996              CB82-08 81.00 1.0496 8.63991
1582783.166662 5095595.250004              CB82-08 82.00 1.0495 8.69106
1582765.000000 5095613.000000              CB82-08 83.00 1.0491 8.69691
1582747.277778 5095630.055556              CB82-08 84.00 1.0484 8.97702
1582729.555555 5095647.111111              CB82-08 85.00 1.0480 9.41232
1582711.833332 5095664.166668              CB82-08 86.00 1.0474 9.48611
1582694.111111 5095681.222223              CB82-08 87.00 1.0472 9.81571
1582676.388885 5095698.277782              CB82-08 88.00 1.0464 9.77888
1582658.666663 5095715.333336              CB82-08 89.00 1.0464 10.1714
1582640.944442 5095732.388891              CB82-08 90.00 1.0459 10.1962
1582623.222221 5095749.444445              CB82-08 91.00 1.0457 10.2447
1582605.500000 5095766.500000              CB82-08 92.00 1.0454 9.76064
1582587.777769 5095783.555564              CB82-08 93.00 1.0452 9.90064
1582570.055558 5095800.611109              CB82-08 94.00 1.0454 9.6232
1582552.333327 5095817.666673              CB82-08 95.00 1.0450 10.049
1582534.611115 5095834.722218              CB82-08 96.00 1.0450 9.79555
1582516.888885 5095851.777782              CB82-08 97.00 1.0447 9.82236
1582499.166673 5095868.833327              CB82-08 98.00 1.0444 9.4935
1582481.444442 5095885.888891              CB82-08 99.00 1.0439 9.23366
1582463.722231 5095902.944436              CB82-08 100.00 1.0439 10.246
1582446.000000 5095920.000000              CB82-08 101.00 1.0439 9.83356
1582428.063063 5095937.414415              CB82-08 102.00 1.0437 9.44572
1582410.126125 5095954.828830              CB82-08 103.00 1.0436 8.69764
