1583695.666651 5094766.666681              CB82-08 31.00 1.4069 1.64462
1583677.888874 5094782.155568              CB82-08 32.00 1.4088 1.82951
1583660.111097 5094797.644456              CB82-08 33.00 1.4108 1.81038
1583642.333321 5094813.133344              CB82-08 34.00 1.4115 1.67983
1583624.555544 5094828.622232              CB82-08 35.00 1.4100 1.58145
1583606.777767 5094844.111120              CB82-08 36.00 1.4100 1.7605
1583588.999990 5094859.600008              CB82-08 37.00 1.4100 1.94097
1583571.222214 5094875.088896              CB82-08 38.00 1.4092 2.04883
1583553.444437 5094890.577784              CB82-08 39.00 1.4088 2.13035
1583535.666660 5094906.066672              CB82-08 40.00 1.4080 1.75016
1583517.888884 5094921.555560              CB82-08 41.00 1.4087 1.37919
1583500.111107 5094937.044448              CB82-08 42.00 1.4080 1.32502
1583482.333330 5094952.533336              CB82-08 43.00 1.4067 1.94156
1583464.555553 5094968.022224              CB82-08 44.00 1.4066 2.64414
1583446.777777 5094983.511112              CB82-08 45.00 1.4071 2.958
1583429.000000 5094999.000000              CB82-08 46.00 1.4076 2.90081
1583411.160000 5095015.040000              CB82-08 47.00 1.4078 2.29716
1583393.320001 5095031.079999              CB82-08 48.00 1.4073 1.97494
1583375.480001 5095047.119999              CB82-08 49.00 1.4047 1.99231
1583357.640002 5095063.159999              CB82-08 50.00 1.4040 2.17592
1583339.799999 5095079.200001              CB82-08 51.00 1.4030 2.27473
1583321.960002 5095095.239998              CB82-08 52.00 1.4016 2.48073
1583304.119999 5095111.280000              CB82-08 53.00 1.4015 2.8187
1583286.280003 5095127.319997              CB82-08 54.00 1.4020 2.68152
1583268.439994 5095143.360006              CB82-08 55.00 1.4016 2.07207
1583250.599997 5095159.400002              CB82-08 56.00 1.4003 2.06268
1583232.760001 5095175.439999              CB82-08 57.00 1.4002 2.09388
1583214.920005 5095191.479996              CB82-08 58.00 1.3995 2.15797
1583197.080009 5095207.519992              CB82-08 59.00 1.3989 2.35184
1583179.239999 5095223.560001              CB82-08 60.00 1.3978 2.40666
1583161.399989 5095239.600010              CB82-08 61.00 1.3969 2.3868
1583143.560006 5095255.639994              CB82-08 62.00 1.3963 2.4441
1583125.719997 5095271.680003              CB82-08 63.00 1.3959 2.65733
1583107.879987 5095287.720011              CB82-08 64.00 1.3956 2.37791
1583090.040004 5095303.759996              CB82-08 65.00 1.3953 2.02292
1583072.199995 5095319.800005              CB82-08 66.00 1.3953 1.8159
1583036.520002 5095351.879998              CB82-08 68.00 1.3936 1.42113
1583018.679993 5095367.920007              CB82-08 69.00 1.3931 1.64579
1583000.840010 5095383.959991              CB82-08 70.00 1.3921 1.95097
1582983.000000 5095400.000000              CB82-08 71.00 1.3914 2.20075
1582964.833333 5095417.750001              CB82-08 72.00 1.3909 2.14821
1582946.666666 5095435.500001              CB82-08 73.00 1.3912 2.2116
1582928.500000 5095453.250000              CB82-08 74.00 1.3891 2.19137
1582910.333331 5095471.000002              CB82-08 75.00 1.3889 2.58826
1582892.166669 5095488.749998              CB82-08 76.00 1.3885 2.39089
1582874.000000 5095506.500000              CB82-08 77.00 1.3886 2.11784
1582855.833338 5095524.249996              CB82-08 78.00 1.3883 1.3916
1582837.666662 5095542.000004              CB82-08 79.00 1.3872 1.20887
1582819.500000 5095559.750000              CB82-08 80.00 1.3860 1.3735
1582801.333338 5095577.499996              CB82-08 81.00 1.3848 0.990589
1582783.166662 5095595.250004              CB82-08 82.00 1.3843 1.17168
1582765.000000 5095613.000000              CB82-08 83.00 1.3840 1.10803
1582747.277778 5095630.055556              CB82-08 84.00 1.3824 1.07035
1582729.555555 5095647.111111              CB82-08 85.00 1.3820 1.05618
1582711.833332 5095664.166668              CB82-08 86.00 1.3815 1.09566
1582694.111111 5095681.222223              CB82-08 87.00 1.3820 0.994462
1582676.388885 5095698.277782              CB82-08 88.00 1.3820 0.839387
1582658.666663 5095715.333336              CB82-08 89.00 1.3836 0.835269
1582640.944442 5095732.388891              CB82-08 90.00 1.3853 1.51243
1582623.222221 5095749.444445              CB82-08 91.00 1.3867 1.87506
1582605.500000 5095766.500000              CB82-08 92.00 1.3851 1.76486
1582587.777769 5095783.555564              CB82-08 93.00 1.3843 2.27516
1582570.055558 5095800.611109              CB82-08 94.00 1.3833 2.45468
1582552.333327 5095817.666673              CB82-08 95.00 1.3833 2.65557
1582534.611115 5095834.722218              CB82-08 96.00 1.3833 2.58113
1582516.888885 5095851.777782              CB82-08 97.00 1.3816 2.39541
1582499.166673 5095868.833327              CB82-08 98.00 1.3813 2.8358
1582481.444442 5095885.888891              CB82-08 99.00 1.3818 3.15205
1582463.722231 5095902.944436              CB82-08 100.00 1.3814 3.37551
1582446.000000 5095920.000000              CB82-08 101.00 1.3818 2.99269
1582428.063063 5095937.414415              CB82-08 102.00 1.3813 2.80419
1582410.126125 5095954.828830              CB82-08 103.00 1.3803 2.48391
1582392.189188 5095972.243245              CB82-08 104.00 1.3801 2.90264
1582374.252251 5095989.657659              CB82-08 105.00 1.3801 3.13288
1582356.315317 5096007.072071              CB82-08 106.00 1.3796 2.76958
