1572300.999999 5105715.000001              CB82-08 666.00 1.5611 20.0898
1572283.000000 5105732.500000              CB82-08 667.00 1.5621 10.4728
1572264.999996 5105750.000004              CB82-08 668.00 1.5675 3.42255
1572247.000002 5105767.499998              CB82-08 669.00 1.5712 9.60537
1572228.999998 5105785.000002              CB82-08 670.00 1.5719 12.1064
1572211.000004 5105802.499996              CB82-08 671.00 1.5736 9.52879
1572193.000000 5105820.000000              CB82-08 672.00 1.5787 9.08018
1572175.300000 5105837.900000              CB82-08 673.00 1.5818 9.50581
1572157.599999 5105855.800001              CB82-08 674.00 1.5861 8.16339
1572139.899998 5105873.700002              CB82-08 675.00 1.5894 8.79002
1572122.199999 5105891.600001              CB82-08 676.00 1.5897 5.92174
1572104.500000 5105909.500000              CB82-08 677.00 1.5927 2.68876
1572086.799996 5105927.400004              CB82-08 678.00 1.5957 3.71439
1572069.100002 5105945.299998              CB82-08 679.00 1.5982 8.92999
1572051.399998 5105963.200002              CB82-08 680.00 1.6004 12.8578
1572033.700004 5105981.099996              CB82-08 681.00 1.6026 11.4878
1572016.000000 5105999.000000              CB82-08 682.00 1.6086 6.32605
1571999.000000 5106015.750000              CB82-08 683.00 1.6172 2.72285
1571982.000000 5106032.500000              CB82-08 684.00 1.6257 6.32607
1571965.000000 5106049.250000              CB82-08 685.00 1.6292 8.46542
1571948.000000 5106066.000000              CB82-08 686.00 1.6393 5.06463
1571930.300000 5106083.500000              CB82-08 687.00 1.6451 1.16667
1571912.599999 5106101.000001              CB82-08 688.00 1.6510 -1.70149
1571894.899998 5106118.500002              CB82-08 689.00 1.6538 -0.474337
1571877.199999 5106136.000001              CB82-08 690.00 1.6566 -0.0261792
1571859.500000 5106153.500000              CB82-08 691.00 1.6594 1.2545
1571841.799996 5106171.000004              CB82-08 692.00 1.6667 6.48516
1571824.100002 5106188.499998              CB82-08 693.00 1.6740 10.3531
1571806.399998 5106206.000002              CB82-08 694.00 1.6760 12.1442
1571788.700004 5106223.499996              CB82-08 695.00 1.6784 11.9013
1571771.000000 5106241.000000              CB82-08 696.00 1.6801 9.25951
1571752.945946 5106258.351352              CB82-08 697.00 1.6840 4.32071
1571734.891891 5106275.702704              CB82-08 698.00 1.6925 8.59039
1571716.837840 5106293.054052              CB82-08 699.00 1.6944 11.0498
1571698.783782 5106310.405407              CB82-08 700.00 1.6941 10.4118
1571680.729734 5106327.756753              CB82-08 701.00 1.6939 9.79472
1571662.675681 5106345.108103              CB82-08 702.00 1.6932 11.4269
1571644.621617 5106362.459464              CB82-08 703.00 1.6928 13.3954
1571626.567564 5106379.810814              CB82-08 704.00 1.6922 17.1674
1571608.513511 5106397.162165              CB82-08 705.00 1.6917 19.8283
